player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Luis Abram,pe PER,DF,Granada,25-311,1996,8.0,6.0,560.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.08,0.0,0.08,0.08,0.08,6.2,2.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.24,-0.5,-0.5,194.0,220.0,88.2,4320.0,1153.0,42.0,46.0,91.3,115.0,124.0,92.7,36.0,48.0,75.0,0.0,0.0,8.0,0.0,0.0,9.0,211.0,9.0,5.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,175.0,15.0,30.0,181.0,22.0,11.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.48,1.0,0.0,0.0,2.0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,5.0,1.0,1.0,3.0,4.0,75.0,1.0,35.0,13.0,37.1,14.0,20.0,1.0,12.0,5.0,2.0,7.0,11.0,39.0,1.0,289.0,62.0,185.0,113.0,7.0,5.0,281.0,0.0,0.0,0.0,0.0,0.0,156.0,803.0,478.0,7.0,0.0,0.0,187.0,182.0,97.3,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,25.0,12.0,15.0,44.4
Marcos Acuña,ar ARG,DF,Sevilla,30-068,1991,16.0,12.0,1085.0,1.0,3.0,0.0,0.0,3.0,0.0,0.08,0.25,0.33,0.08,0.33,1.0,1.0,1.8,0.08,0.15,0.23,0.08,0.23,12.1,8.0,4.0,1.0,50.0,0.66,0.33,0.13,0.25,0.13,0.0,0.0,748.0,943.0,79.3,15816.0,5805.0,258.0,277.0,93.1,338.0,398.0,84.9,145.0,244.0,59.4,1.2,22.0,51.0,24.0,11.0,69.0,777.0,166.0,29.0,2.0,64.0,53.0,64.0,19.0,0.0,17.0,0.0,552.0,151.0,240.0,703.0,88.0,21.0,118.0,2.0,2.0,14.0,31.0,21.0,40.0,3.32,28.0,10.0,0.0,1.0,1.0,3.0,0.25,1.0,2.0,0.0,0.0,0.0,0.0,24.0,14.0,14.0,5.0,5.0,12.0,18.0,66.7,6.0,117.0,34.0,29.1,54.0,47.0,16.0,13.0,1.0,0.0,12.0,16.0,16.0,0.0,1055.0,26.0,295.0,517.0,306.0,12.0,894.0,17.0,23.0,73.9,18.0,2.0,705.0,3136.0,1845.0,72.0,15.0,3.0,757.0,721.0,95.2,14.0,17.0,0.0,17.0,25.0,0.0,0.0,0.0,0.0,91.0,12.0,22.0,35.3
Martin Agirregabiria,es ESP,DF,Alavés,25-239,1996,14.0,12.0,1134.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,0.9,0.01,0.07,0.08,0.01,0.08,12.6,4.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.02,-0.1,-0.1,428.0,587.0,72.9,8139.0,4031.0,172.0,206.0,83.5,207.0,262.0,79.0,47.0,100.0,47.0,0.1,11.0,35.0,17.0,9.0,42.0,455.0,132.0,7.0,0.0,64.0,16.0,31.0,0.0,0.0,0.0,0.0,291.0,129.0,167.0,29.0,385.0,37.0,125.0,0.0,2.0,13.0,21.0,25.0,19.0,1.51,14.0,1.0,1.0,0.0,3.0,2.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0,32.0,16.0,15.0,9.0,8.0,19.0,36.0,52.8,17.0,147.0,38.0,25.9,70.0,56.0,21.0,26.0,3.0,0.0,23.0,18.0,34.0,0.0,733.0,40.0,231.0,358.0,173.0,7.0,605.0,12.0,15.0,80.0,12.0,1.0,359.0,1358.0,767.0,34.0,11.0,0.0,409.0,368.0,90.0,7.0,8.0,0.0,18.0,22.0,0.0,0.0,1.0,0.0,101.0,22.0,30.0,42.3
Julen Agirrezabala,es ESP,GK,Athletic Club,21-009,2000,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,82.0,74.4,1695.0,1037.0,14.0,14.0,100.0,30.0,30.0,100.0,16.0,37.0,43.2,0.0,0.0,1.0,0.0,0.0,0.0,48.0,34.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,33.0,30.0,36.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,75.0,95.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,38.0,159.0,75.0,0.0,0.0,0.0,26.0,25.0,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Sergio Agüero,ar ARG,FW,Barcelona,33-216,1988,4.0,2.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,1.1,1.1,0.3,0.64,0.16,0.8,0.64,0.8,1.7,6.0,1.0,0.0,16.7,3.58,0.6,0.17,1.0,0.18,-0.1,-0.1,31.0,43.0,72.1,469.0,43.0,18.0,25.0,72.0,10.0,15.0,66.7,2.0,2.0,100.0,-0.3,1.0,2.0,0.0,0.0,2.0,41.0,2.0,0.0,1.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,24.0,9.0,10.0,5.0,31.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.79,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,18.0,4.0,22.2,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,28.0,33.0,15.0,57.0,1.0,1.0,100.0,1.0,0.0,38.0,237.0,110.0,7.0,2.0,2.0,78.0,53.0,67.9,5.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,66.7
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21-335,2000,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,24.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,26-097,1995,13.0,11.0,954.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.0,0.01,0.01,0.01,10.6,2.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.05,-0.1,-0.1,448.0,537.0,83.4,10546.0,3083.0,100.0,116.0,86.2,228.0,251.0,90.8,114.0,158.0,72.2,0.0,1.0,37.0,0.0,0.0,32.0,522.0,15.0,6.0,1.0,56.0,12.0,1.0,0.0,0.0,0.0,0.0,371.0,48.0,118.0,80.0,393.0,36.0,9.0,2.0,0.0,16.0,8.0,8.0,7.0,0.66,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,15.0,4.0,1.0,4.0,11.0,36.4,7.0,118.0,49.0,41.5,78.0,37.0,3.0,19.0,6.0,0.0,13.0,23.0,42.0,1.0,644.0,77.0,336.0,333.0,17.0,7.0,629.0,2.0,2.0,100.0,2.0,0.0,403.0,2435.0,1379.0,38.0,3.0,0.0,407.0,399.0,98.0,5.0,3.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,103.0,33.0,18.0,64.7
Carlos Akapo,gq EQG,DF,Cádiz,28-298,1993,11.0,8.0,776.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,8.6,4.0,1.0,0.0,25.0,0.46,0.12,0.0,0.0,0.06,-0.2,-0.2,200.0,297.0,67.3,4119.0,2018.0,74.0,92.0,80.4,91.0,123.0,74.0,32.0,70.0,45.7,-0.1,2.0,12.0,5.0,3.0,10.0,221.0,76.0,9.0,0.0,40.0,11.0,13.0,0.0,0.0,0.0,0.0,124.0,80.0,93.0,11.0,189.0,22.0,67.0,0.0,0.0,13.0,8.0,13.0,6.0,0.7,3.0,1.0,1.0,1.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,17.0,3.0,0.0,6.0,14.0,42.9,8.0,129.0,42.0,32.6,80.0,38.0,11.0,19.0,6.0,0.0,13.0,26.0,28.0,0.0,402.0,48.0,177.0,150.0,90.0,2.0,328.0,2.0,3.0,66.7,3.0,1.0,165.0,820.0,413.0,19.0,8.0,0.0,166.0,139.0,83.7,7.0,2.0,0.0,11.0,8.0,0.0,0.0,1.0,0.0,76.0,17.0,16.0,51.5
Ilias Akhomach,es ESP,FW,Barcelona,17-263,2004,2.0,2.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.08,0.27,0.34,0.08,0.34,1.4,4.0,2.0,0.0,50.0,2.9,1.45,0.0,0.0,0.03,-0.1,-0.1,44.0,52.0,84.6,612.0,180.0,34.0,35.0,97.1,8.0,10.0,80.0,2.0,5.0,40.0,-0.4,3.0,3.0,5.0,1.0,6.0,52.0,0.0,0.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,44.0,3.0,5.0,48.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,5.08,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,1.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,6.0,20.0,50.0,8.0,70.0,1.0,3.0,33.3,1.0,1.0,62.0,272.0,169.0,12.0,2.0,3.0,60.0,56.0,93.3,0.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
Paul Akouokou,ci CIV,MF,Betis,24-015,1997,3.0,2.0,179.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,2.0,2.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.02,0.0,0.0,86.0,100.0,86.0,1542.0,416.0,33.0,39.0,84.6,45.0,49.0,91.8,6.0,10.0,60.0,0.0,1.0,8.0,1.0,0.0,6.0,100.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,77.0,8.0,15.0,13.0,79.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,1.0,4.0,25.0,3.0,40.0,13.0,32.5,16.0,19.0,5.0,2.0,0.0,0.0,2.0,3.0,5.0,0.0,118.0,6.0,33.0,80.0,10.0,1.0,118.0,2.0,2.0,100.0,2.0,0.0,77.0,379.0,211.0,9.0,1.0,0.0,86.0,85.0,98.8,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,1.0,83.3
