player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28.0,28.0,2520.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,1.3,1.3,0.1,0.05,0.0,0.05,0.05,0.05,28.0,19.0,5.0,0.0,26.3,0.68,0.18,0.16,0.6,0.07,1.7,1.7,1328.0,1515.0,87.7,29512.0,9038.0,331.0,355.0,93.2,715.0,777.0,92.0,273.0,360.0,75.8,-0.1,2.0,45.0,3.0,0.0,80.0,1437.0,78.0,75.0,1.0,184.0,49.0,1.0,0.0,0.0,0.0,0.0,1142.0,141.0,232.0,1008.0,411.0,66.0,3.0,3.0,3.0,21.0,25.0,12.0,16.0,0.57,11.0,0.0,0.0,4.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,61.0,37.0,43.0,16.0,2.0,14.0,28.0,50.0,14.0,299.0,111.0,37.1,189.0,97.0,13.0,43.0,19.0,0.0,24.0,24.0,166.0,1.0,1856.0,256.0,1131.0,800.0,61.0,27.0,1782.0,21.0,26.0,80.8,21.0,0.0,1201.0,7284.0,4030.0,57.0,9.0,0.0,1266.0,1236.0,97.6,12.0,8.0,0.0,24.0,18.0,0.0,0.0,1.0,0.0,226.0,86.0,42.0,67.2
Mehdi Abeid,dz ALG,MF,Nantes,26,1992,25.0,20.0,1817.0,1.0,2.0,0.0,0.0,5.0,0.0,0.05,0.1,0.15,0.05,0.15,1.6,1.6,1.4,0.08,0.07,0.15,0.08,0.15,20.2,33.0,7.0,3.0,21.2,1.63,0.35,0.03,0.14,0.05,-0.6,-0.6,801.0,957.0,83.7,14640.0,3851.0,365.0,395.0,92.4,337.0,369.0,91.3,93.0,172.0,54.1,0.6,26.0,85.0,6.0,4.0,59.0,864.0,93.0,42.0,1.0,157.0,50.0,18.0,47.0,16.0,16.0,7.0,684.0,113.0,160.0,104.0,788.0,42.0,4.0,8.0,3.0,23.0,11.0,12.0,46.0,2.28,27.0,14.0,1.0,2.0,1.0,4.0,0.2,2.0,1.0,0.0,1.0,0.0,0.0,60.0,41.0,24.0,34.0,2.0,24.0,62.0,38.7,38.0,417.0,114.0,27.3,121.0,233.0,63.0,18.0,3.0,0.0,15.0,17.0,22.0,0.0,1176.0,22.0,211.0,753.0,283.0,20.0,1091.0,12.0,22.0,54.5,12.0,0.0,782.0,3972.0,1965.0,71.0,21.0,2.0,854.0,759.0,88.9,14.0,26.0,0.0,57.0,48.0,1.0,0.0,1.0,0.0,194.0,14.0,19.0,42.4
Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,15.0,6.0,623.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,0.03,0.16,0.19,0.03,0.19,6.9,5.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.04,-0.2,-0.2,74.0,132.0,56.1,1085.0,199.0,38.0,66.0,57.6,23.0,37.0,62.2,4.0,8.0,50.0,-1.1,5.0,5.0,2.0,0.0,8.0,120.0,12.0,0.0,1.0,53.0,1.0,4.0,0.0,0.0,0.0,0.0,69.0,38.0,25.0,78.0,16.0,11.0,0.0,5.0,1.0,3.0,3.0,9.0,12.0,1.73,8.0,0.0,0.0,0.0,4.0,1.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0,10.0,8.0,3.0,5.0,2.0,3.0,11.0,27.3,8.0,181.0,53.0,29.3,5.0,86.0,90.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,208.0,7.0,18.0,108.0,95.0,23.0,196.0,16.0,21.0,76.2,16.0,0.0,136.0,574.0,279.0,14.0,0.0,4.0,309.0,142.0,46.0,25.0,12.0,0.0,17.0,11.0,7.0,1.0,0.0,0.0,25.0,27.0,39.0,40.9
Amine Adli,fr FRA,"MF,FW",Toulouse,19,2000,4.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.11,0.11,0.0,0.11,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,27.0,77.8,336.0,127.0,12.0,12.0,100.0,7.0,9.0,77.8,2.0,6.0,33.3,-0.1,2.0,4.0,1.0,0.0,4.0,22.0,5.0,1.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,0.0,14.0,8.0,5.0,22.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,5.87,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,17.0,4.0,23.5,6.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,3.0,20.0,14.0,1.0,28.0,3.0,4.0,75.0,3.0,0.0,25.0,176.0,107.0,6.0,0.0,0.0,26.0,23.0,88.5,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,19,2000,21.0,11.0,1020.0,3.0,3.0,0.0,0.0,3.0,0.0,0.26,0.26,0.53,0.26,0.53,0.9,0.9,2.0,0.08,0.18,0.26,0.08,0.26,11.3,18.0,6.0,1.0,33.3,1.59,0.53,0.17,0.5,0.05,2.1,2.1,460.0,581.0,79.2,8420.0,1964.0,216.0,250.0,86.4,178.0,215.0,82.8,59.0,99.0,59.6,1.0,18.0,50.0,8.0,0.0,55.0,540.0,41.0,18.0,1.0,144.0,22.0,11.0,19.0,8.0,7.0,3.0,441.0,76.0,64.0,62.0,498.0,8.0,3.0,1.0,3.0,9.0,22.0,7.0,38.0,3.35,25.0,5.0,4.0,2.0,1.0,7.0,0.62,3.0,1.0,2.0,1.0,0.0,0.0,27.0,18.0,6.0,15.0,6.0,10.0,31.0,32.3,21.0,328.0,86.0,26.2,72.0,166.0,90.0,11.0,0.0,0.0,11.0,9.0,4.0,0.0,735.0,13.0,73.0,512.0,210.0,13.0,695.0,24.0,42.0,57.1,28.0,3.0,554.0,2685.0,1602.0,91.0,34.0,3.0,612.0,549.0,89.7,27.0,32.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0,85.0,9.0,14.0,39.1
Nayef Aguerd,ma MAR,DF,Dijon,23,1996,11.0,11.0,957.0,1.0,0.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,0.7,0.7,0.0,0.06,0.0,0.06,0.06,0.06,10.6,5.0,1.0,1.0,20.0,0.47,0.09,0.2,1.0,0.13,0.3,0.3,487.0,572.0,85.1,11844.0,4421.0,128.0,132.0,97.0,235.0,249.0,94.4,123.0,183.0,67.2,0.0,0.0,21.0,0.0,0.0,21.0,556.0,16.0,12.0,0.0,61.0,32.0,0.0,0.0,0.0,0.0,0.0,407.0,37.0,128.0,481.0,59.0,18.0,4.0,1.0,2.0,12.0,4.0,7.0,3.0,0.28,3.0,0.0,0.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,9.0,4.0,1.0,6.0,13.0,46.2,7.0,106.0,28.0,26.4,74.0,30.0,2.0,21.0,13.0,0.0,8.0,10.0,88.0,2.0,717.0,94.0,449.0,291.0,13.0,7.0,700.0,1.0,2.0,50.0,1.0,0.0,453.0,2046.0,1040.0,11.0,1.0,0.0,477.0,469.0,98.3,3.0,5.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,94.0,41.0,13.0,75.9
Ruben Aguilar,fr FRA,DF,Monaco,26,1993,19.0,11.0,1072.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.17,0.17,0.0,0.17,0.1,0.1,1.5,0.01,0.12,0.13,0.01,0.13,11.9,7.0,3.0,0.0,42.9,0.59,0.25,0.0,0.0,0.02,-0.1,-0.1,666.0,791.0,84.2,11012.0,4091.0,356.0,378.0,94.2,244.0,284.0,85.9,54.0,100.0,54.0,0.5,14.0,39.0,25.0,15.0,51.0,675.0,116.0,9.0,0.0,102.0,18.0,52.0,0.0,0.0,0.0,0.0,502.0,154.0,135.0,14.0,642.0,15.0,107.0,5.0,0.0,8.0,6.0,19.0,24.0,2.01,22.0,0.0,0.0,0.0,1.0,3.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,39.0,28.0,20.0,14.0,5.0,18.0,27.0,66.7,9.0,203.0,71.0,35.0,99.0,75.0,29.0,11.0,2.0,0.0,9.0,11.0,25.0,1.0,926.0,35.0,225.0,465.0,292.0,22.0,816.0,15.0,26.0,57.7,17.0,0.0,624.0,2837.0,1709.0,84.0,21.0,3.0,649.0,601.0,92.6,8.0,15.0,0.0,10.0,23.0,0.0,0.0,0.0,0.0,119.0,16.0,15.0,51.6
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,11.0,8.0,630.0,1.0,1.0,0.0,0.0,3.0,1.0,0.14,0.14,0.29,0.14,0.29,0.8,0.8,0.1,0.12,0.02,0.13,0.12,0.13,7.0,10.0,4.0,0.0,40.0,1.43,0.57,0.1,0.25,0.08,0.2,0.2,262.0,313.0,83.7,4836.0,830.0,103.0,118.0,87.3,122.0,135.0,90.4,32.0,50.0,64.0,0.9,3.0,17.0,0.0,0.0,19.0,306.0,7.0,6.0,0.0,53.0,6.0,2.0,0.0,0.0,0.0,0.0,236.0,54.0,23.0,254.0,40.0,11.0,1.0,1.0,2.0,13.0,8.0,6.0,12.0,1.71,7.0,0.0,1.0,0.0,1.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0,1.0,21.0,19.0,5.0,14.0,2.0,4.0,11.0,36.4,7.0,148.0,57.0,38.5,24.0,104.0,20.0,8.0,1.0,0.0,7.0,12.0,13.0,0.0,409.0,15.0,87.0,277.0,70.0,12.0,405.0,10.0,13.0,76.9,12.0,0.0,277.0,1320.0,632.0,33.0,7.0,0.0,306.0,269.0,87.9,13.0,10.0,0.0,11.0,14.0,1.0,0.0,0.0,0.0,72.0,12.0,10.0,54.5
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,12.0,6.0,536.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,6.0,2.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.01,0.0,0.0,357.0,413.0,86.4,6250.0,1555.0,172.0,188.0,91.5,149.0,163.0,91.4,35.0,52.0,67.3,0.9,4.0,28.0,3.0,0.0,38.0,406.0,7.0,5.0,2.0,93.0,5.0,1.0,1.0,1.0,0.0,0.0,330.0,48.0,35.0,63.0,330.0,13.0,1.0,1.0,2.0,6.0,6.0,3.0,8.0,1.34,8.0,0.0,0.0,0.0,0.0,2.0,0.34,2.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,7.0,4.0,0.0,2.0,25.0,8.0,23.0,164.0,48.0,29.3,41.0,108.0,15.0,12.0,2.0,0.0,10.0,5.0,7.0,0.0,473.0,12.0,81.0,365.0,47.0,1.0,466.0,6.0,12.0,50.0,7.0,0.0,340.0,1257.0,628.0,28.0,6.0,0.0,369.0,349.0,94.6,7.0,6.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,79.0,8.0,7.0,53.3
Rayan Aït Nouri,fr FRA,DF,Angers,18,2001,17.0,16.0,1282.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.14,0.14,0.0,0.14,0.2,0.2,0.8,0.01,0.06,0.07,0.01,0.07,14.2,4.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.04,-0.2,-0.2,625.0,801.0,78.0,10424.0,4748.0,340.0,371.0,91.6,231.0,283.0,81.6,50.0,119.0,42.0,1.2,12.0,35.0,18.0,12.0,49.0,649.0,152.0,7.0,1.0,104.0,21.0,38.0,3.0,0.0,2.0,1.0,446.0,147.0,208.0,554.0,72.0,22.0,142.0,1.0,2.0,19.0,17.0,30.0,21.0,1.47,16.0,3.0,0.0,0.0,1.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0,32.0,18.0,13.0,11.0,8.0,6.0,24.0,25.0,18.0,224.0,83.0,37.1,104.0,83.0,37.0,32.0,1.0,0.0,31.0,13.0,51.0,0.0,996.0,40.0,310.0,491.0,269.0,16.0,846.0,19.0,41.0,46.3,22.0,2.0,617.0,3093.0,1915.0,89.0,31.0,4.0,609.0,565.0,92.8,20.0,20.0,0.0,16.0,13.0,0.0,0.0,0.0,0.0,143.0,19.0,8.0,70.4
Ludovic Ajorque,re REU,FW,Strasbourg,25,1994,26.0,24.0,2058.0,8.0,4.0,1.0,1.0,3.0,0.0,0.35,0.17,0.52,0.31,0.48,6.2,5.4,3.0,0.27,0.13,0.4,0.24,0.37,22.9,44.0,18.0,0.0,40.9,1.92,0.79,0.16,0.39,0.12,1.8,1.6,371.0,509.0,72.9,5861.0,927.0,199.0,252.0,79.0,127.0,177.0,71.8,33.0,52.0,63.5,1.0,14.0,14.0,12.0,4.0,27.0,486.0,23.0,0.0,2.0,170.0,11.0,18.0,0.0,0.0,0.0,0.0,260.0,155.0,94.0,254.0,113.0,48.0,3.0,7.0,5.0,11.0,13.0,12.0,36.0,1.57,27.0,0.0,3.0,3.0,2.0,10.0,0.44,6.0,0.0,1.0,1.0,2.0,0.0,18.0,14.0,3.0,13.0,2.0,3.0,19.0,15.8,16.0,280.0,75.0,26.8,19.0,146.0,115.0,11.0,2.0,0.0,9.0,3.0,23.0,0.0,755.0,22.0,52.0,415.0,315.0,110.0,731.0,14.0,27.0,51.9,15.0,1.0,404.0,1469.0,643.0,37.0,7.0,10.0,977.0,580.0,59.4,73.0,23.0,0.0,43.0,22.0,4.0,1.0,1.0,0.0,74.0,112.0,71.0,61.2
Marley Aké,fr FRA,"FW,MF",Marseille,18,2001,9.0,0.0,99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.19,0.0,0.19,0.19,0.19,1.1,3.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,0.07,-0.2,-0.2,25.0,29.0,86.2,414.0,68.0,14.0,14.0,100.0,7.0,11.0,63.6,3.0,3.0,100.0,0.0,0.0,1.0,1.0,0.0,2.0,27.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,3.0,4.0,2.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.64,3.0,0.0,1.0,0.0,0.0,1.0,0.91,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,50.0,1.0,15.0,4.0,26.7,3.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,43.0,1.0,8.0,20.0,17.0,2.0,41.0,3.0,4.0,75.0,3.0,0.0,35.0,183.0,85.0,6.0,0.0,0.0,46.0,28.0,60.9,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0
