squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arsenal,30.0,61.5,38.0,418.0,3420.0,73.0,61.0,4.0,5.0,0.0,0.0,1.92,1.61,3.53,1.82,3.42,68.4,64.6,51.3,1.8,1.35,3.15,1.7,3.05,38.0,38.0,3420.0,51.0,1.34,142.0,94.0,67.6,19.0,6.0,13.0,13.0,34.2,6.0,5.0,1.0,0.0,38.0,0.0,9.0,0.0,53.6,0.34,2.6,0.07,207.0,525.0,39.4,930.0,245.0,39.1,37.7,251.0,64.1,51.7,340.0,37.0,10.9,28.0,0.74,14.7,590.0,227.0,30.0,38.5,15.53,5.97,0.12,0.3,0.11,4.6,4.4,20841.0,24882.0,83.8,395232.0,124312.0,8620.0,9665.0,89.2,9005.0,10135.0,88.9,2779.0,4171.0,66.6,7.7,433.0,1629.0,506.0,62.0,1887.0,23132.0,1750.0,434.0,48.0,3257.0,679.0,419.0,225.0,114.0,59.0,17.0,18043.0,3345.0,3494.0,9605.0,12934.0,804.0,751.0,358.0,84.0,322.0,728.0,468.0,937.0,24.66,733.0,46.0,54.0,45.0,49.0,119.0,3.13,89.0,7.0,5.0,11.0,7.0,0.0,690.0,436.0,326.0,268.0,96.0,263.0,667.0,39.4,404.0,5449.0,1753.0,32.2,1784.0,2395.0,1270.0,509.0,117.0,3.0,392.0,484.0,939.0,12.0,29512.0,2394.0,7955.0,14933.0,8438.0,1256.0,27806.0,394.0,646.0,61.0,436.0,30.0,19524.0,96574.0,51214.0,2443.0,702.0,189.0,23745.0,20841.0,87.8,489.0,450.0,0.0,388.0,382.0,90.0,5.0,6.0,0.0,3646.0,722.0,764.0,48.6
Bournemouth,22.0,47.8,38.0,418.0,3420.0,45.0,36.0,3.0,3.0,0.0,0.0,1.18,0.95,2.13,1.11,2.05,44.8,42.6,32.2,1.18,0.85,2.03,1.12,1.97,38.0,38.0,3420.0,61.0,1.61,171.0,113.0,65.5,11.0,11.0,16.0,6.0,15.8,4.0,2.0,1.0,1.0,38.0,2.0,8.0,1.0,57.5,0.33,-2.5,-0.07,233.0,668.0,34.9,823.0,227.0,48.8,41.5,329.0,80.9,58.5,389.0,34.0,8.7,8.0,0.21,13.2,473.0,153.0,13.0,32.3,12.45,4.03,0.09,0.27,0.09,0.2,-0.6,13509.0,17676.0,76.4,263531.0,93882.0,5590.0,6479.0,86.3,5707.0,6860.0,83.2,1973.0,3640.0,54.2,3.8,350.0,965.0,302.0,75.0,1232.0,15633.0,2043.0,540.0,25.0,2787.0,472.0,464.0,218.0,87.0,65.0,20.0,11103.0,2685.0,3888.0,5269.0,9963.0,791.0,857.0,319.0,47.0,371.0,573.0,469.0,709.0,18.66,515.0,72.0,41.0,32.0,34.0,74.0,1.95,46.0,9.0,5.0,6.0,6.0,2.0,581.0,330.0,298.0,211.0,72.0,191.0,552.0,34.6,361.0,5639.0,1552.0,27.5,1894.0,2565.0,1180.0,622.0,175.0,6.0,447.0,467.0,1326.0,8.0,22843.0,2631.0,8023.0,10427.0,5889.0,902.0,20850.0,367.0,659.0,55.7,403.0,27.0,13061.0,73996.0,41129.0,1635.0,482.0,160.0,16283.0,13509.0,83.0,533.0,528.0,1.0,339.0,424.0,53.0,2.0,3.0,1.0,3645.0,816.0,902.0,47.5
Brighton,24.0,43.7,38.0,418.0,3420.0,33.0,25.0,5.0,7.0,0.0,0.0,0.87,0.66,1.53,0.74,1.39,37.2,31.8,23.0,0.98,0.6,1.58,0.84,1.44,38.0,38.0,3420.0,54.0,1.42,171.0,121.0,69.0,9.0,13.0,16.0,10.0,26.3,3.0,1.0,2.0,0.0,38.0,1.0,15.0,5.0,56.1,0.32,7.1,0.19,376.0,913.0,41.2,821.0,118.0,70.9,50.4,352.0,94.0,63.5,383.0,19.0,5.0,15.0,0.39,12.6,381.0,113.0,3.0,29.7,10.03,2.97,0.07,0.25,0.09,-4.2,-3.8,11952.0,16141.0,74.0,254225.0,92921.0,4550.0,5392.0,84.4,4822.0,5896.0,81.8,2343.0,4203.0,55.7,2.0,278.0,852.0,196.0,69.0,984.0,14411.0,1730.0,333.0,11.0,2837.0,720.0,434.0,163.0,67.0,61.0,26.0,9236.0,2534.0,4371.0,3764.0,9822.0,806.0,792.0,261.0,88.0,421.0,483.0,401.0,569.0,14.97,407.0,69.0,29.0,28.0,28.0,57.0,1.5,40.0,3.0,4.0,4.0,6.0,0.0,691.0,448.0,410.0,235.0,46.0,230.0,726.0,31.7,496.0,6172.0,1736.0,28.1,2547.0,2592.0,1033.0,640.0,209.0,7.0,431.0,555.0,1227.0,19.0,20799.0,2738.0,7999.0,9234.0,4736.0,658.0,19099.0,311.0,501.0,62.1,335.0,12.0,11625.0,61690.0,32729.0,1165.0,359.0,113.0,14951.0,11952.0,79.9,462.0,388.0,0.0,414.0,284.0,101.0,7.0,3.0,5.0,3400.0,963.0,888.0,52.0
Burnley,24.0,43.9,38.0,418.0,3420.0,35.0,26.0,0.0,0.0,0.0,0.0,0.92,0.68,1.61,0.92,1.61,34.5,34.5,23.9,0.91,0.63,1.54,0.91,1.54,38.0,38.0,3420.0,39.0,1.03,160.0,123.0,77.5,14.0,12.0,12.0,12.0,31.6,5.0,3.0,1.0,1.0,38.0,0.0,5.0,1.0,47.9,0.29,9.9,0.26,399.0,1104.0,36.1,1003.0,139.0,79.0,58.3,331.0,94.3,71.9,420.0,46.0,11.0,22.0,0.58,14.5,388.0,126.0,16.0,32.5,10.21,3.32,0.09,0.28,0.09,0.5,0.5,10493.0,14955.0,70.2,228229.0,92975.0,3993.0,4782.0,83.5,4314.0,5451.0,79.1,2023.0,4219.0,47.9,2.1,282.0,893.0,231.0,88.0,954.0,13080.0,1875.0,475.0,18.0,2864.0,493.0,431.0,167.0,63.0,59.0,27.0,7591.0,2455.0,4909.0,4074.0,8094.0,975.0,825.0,235.0,90.0,432.0,376.0,382.0,577.0,15.18,366.0,86.0,34.0,41.0,41.0,55.0,1.45,35.0,4.0,3.0,12.0,1.0,0.0,577.0,351.0,296.0,223.0,58.0,219.0,631.0,34.7,412.0,5957.0,1637.0,27.5,2036.0,2667.0,1254.0,675.0,210.0,6.0,465.0,529.0,1486.0,9.0,19877.0,2525.0,6789.0,9083.0,4921.0,669.0,18033.0,246.0,422.0,58.3,274.0,20.0,10366.0,50083.0,25014.0,981.0,320.0,72.0,13577.0,10493.0,77.3,463.0,403.0,0.0,352.0,423.0,104.0,0.0,5.0,1.0,3481.0,1101.0,1193.0,48.0
Chelsea,26.0,55.4,38.0,418.0,3420.0,60.0,42.0,3.0,3.0,0.0,0.0,1.58,1.11,2.68,1.5,2.61,57.9,55.7,42.2,1.52,1.11,2.64,1.46,2.58,38.0,38.0,3420.0,38.0,1.0,116.0,81.0,69.0,21.0,7.0,10.0,16.0,42.1,2.0,2.0,0.0,0.0,38.0,0.0,2.0,2.0,33.1,0.28,-2.9,-0.08,190.0,493.0,38.5,1032.0,216.0,34.0,36.1,261.0,54.4,48.6,306.0,23.0,7.5,21.0,0.55,14.1,602.0,209.0,19.0,34.7,15.84,5.5,0.09,0.27,0.09,2.1,1.3,18946.0,22862.0,82.9,370373.0,117235.0,7450.0,8389.0,88.8,8446.0,9524.0,88.7,2709.0,4114.0,65.8,0.8,472.0,1420.0,417.0,79.0,1672.0,21098.0,1764.0,452.0,53.0,2903.0,648.0,530.0,228.0,50.0,81.0,12.0,16311.0,3079.0,3472.0,4689.0,15950.0,689.0,747.0,333.0,95.0,300.0,614.0,461.0,1006.0,26.47,765.0,77.0,58.0,41.0,44.0,92.0,2.42,73.0,6.0,3.0,3.0,7.0,0.0,721.0,446.0,358.0,285.0,78.0,237.0,582.0,40.7,345.0,5280.0,1730.0,32.8,1924.0,2329.0,1027.0,510.0,129.0,2.0,381.0,514.0,804.0,10.0,27447.0,2527.0,8694.0,13021.0,7595.0,1123.0,25740.0,445.0,737.0,60.4,478.0,41.0,18152.0,96301.0,54597.0,2358.0,645.0,223.0,21886.0,18946.0,86.6,496.0,427.0,2.0,364.0,410.0,112.0,3.0,2.0,2.0,3614.0,734.0,625.0,54.0
Crystal Palace,28.0,45.3,38.0,418.0,3420.0,44.0,26.0,8.0,10.0,0.0,0.0,1.16,0.68,1.84,0.95,1.63,56.1,48.9,33.7,1.48,0.89,2.36,1.29,2.17,38.0,38.0,3420.0,55.0,1.45,167.0,116.0,68.3,11.0,11.0,16.0,9.0,23.7,2.0,2.0,0.0,0.0,38.0,1.0,12.0,2.0,48.3,0.28,-4.7,-0.12,322.0,852.0,37.8,778.0,114.0,72.0,53.4,316.0,92.4,68.1,406.0,23.0,5.7,24.0,0.63,13.5,466.0,133.0,20.0,28.5,12.26,3.5,0.08,0.27,0.11,-12.1,-12.9,11832.0,15895.0,74.4,233907.0,94226.0,4991.0,5765.0,86.6,4705.0,5757.0,81.7,1827.0,3628.0,50.4,-7.7,319.0,975.0,289.0,64.0,1158.0,13946.0,1949.0,461.0,24.0,2675.0,477.0,439.0,210.0,83.0,74.0,33.0,9325.0,2495.0,4075.0,4412.0,9024.0,714.0,869.0,219.0,47.0,386.0,477.0,426.0,720.0,18.95,479.0,74.0,56.0,41.0,52.0,76.0,2.0,49.0,3.0,5.0,9.0,9.0,1.0,760.0,451.0,429.0,268.0,63.0,258.0,682.0,37.8,424.0,5664.0,1661.0,29.3,2195.0,2446.0,1023.0,643.0,131.0,5.0,512.0,631.0,1216.0,13.0,21219.0,2321.0,6916.0,9832.0,5708.0,915.0,19296.0,455.0,756.0,60.2,506.0,19.0,12215.0,62823.0,33838.0,1446.0,466.0,168.0,14941.0,11832.0,79.2,524.0,525.0,0.0,425.0,408.0,56.0,9.0,2.0,2.0,3484.0,886.0,838.0,51.4
Everton,30.0,45.9,38.0,418.0,3420.0,42.0,26.0,5.0,8.0,0.0,0.0,1.11,0.68,1.79,0.97,1.66,41.4,35.2,24.3,1.09,0.64,1.73,0.93,1.57,38.0,38.0,3420.0,58.0,1.53,175.0,119.0,68.6,13.0,10.0,15.0,10.0,26.3,5.0,3.0,1.0,1.0,38.0,0.0,7.0,0.0,59.6,0.33,1.6,0.04,322.0,985.0,32.7,991.0,155.0,67.9,54.1,339.0,92.0,72.5,367.0,24.0,6.5,32.0,0.84,15.1,359.0,108.0,8.0,30.1,9.45,2.84,0.1,0.34,0.1,0.6,1.8,11989.0,16282.0,73.6,245286.0,92141.0,4810.0,5626.0,85.5,4871.0,5918.0,82.3,2018.0,4012.0,50.3,1.7,264.0,994.0,223.0,77.0,1037.0,14419.0,1863.0,425.0,24.0,2692.0,546.0,395.0,150.0,63.0,68.0,8.0,9179.0,2697.0,4406.0,3388.0,10277.0,847.0,853.0,238.0,72.0,393.0,438.0,437.0,559.0,14.71,393.0,58.0,26.0,30.0,36.0,68.0,1.79,42.0,2.0,4.0,9.0,7.0,4.0,748.0,459.0,408.0,259.0,81.0,249.0,674.0,36.9,425.0,6592.0,1819.0,27.6,2453.0,2788.0,1351.0,640.0,176.0,6.0,464.0,581.0,1297.0,9.0,21403.0,2578.0,7376.0,10004.0,5155.0,679.0,19576.0,314.0,561.0,56.0,343.0,20.0,11906.0,58052.0,28894.0,1084.0,329.0,92.0,15097.0,11989.0,79.4,549.0,434.0,2.0,454.0,368.0,82.0,8.0,5.0,0.0,3566.0,962.0,1012.0,48.7
Huddersfield,25.0,45.7,38.0,418.0,3420.0,25.0,19.0,2.0,2.0,0.0,0.0,0.66,0.5,1.16,0.61,1.11,31.7,30.2,21.9,0.83,0.58,1.41,0.79,1.37,38.0,38.0,3420.0,57.0,1.5,153.0,97.0,65.4,9.0,10.0,19.0,10.0,26.3,6.0,4.0,2.0,0.0,38.0,0.0,6.0,1.0,56.2,0.34,-0.8,-0.02,411.0,963.0,42.7,1080.0,108.0,65.1,50.3,307.0,84.7,63.1,287.0,25.0,8.7,34.0,0.89,15.4,362.0,105.0,13.0,29.0,9.53,2.76,0.06,0.22,0.09,-6.7,-7.2,12081.0,16535.0,73.1,242934.0,91373.0,5038.0,5929.0,85.0,4763.0,6011.0,79.2,2025.0,3881.0,52.2,-2.9,243.0,866.0,181.0,72.0,942.0,14569.0,1966.0,476.0,16.0,2923.0,458.0,477.0,165.0,88.0,37.0,14.0,9506.0,2517.0,4512.0,3685.0,10126.0,882.0,922.0,190.0,53.0,435.0,513.0,461.0,515.0,13.55,381.0,38.0,26.0,21.0,30.0,43.0,1.13,30.0,3.0,4.0,3.0,3.0,0.0,829.0,464.0,388.0,349.0,92.0,241.0,674.0,35.8,433.0,6575.0,2029.0,30.9,2364.0,2875.0,1336.0,640.0,133.0,7.0,507.0,546.0,1267.0,14.0,21734.0,2411.0,7453.0,10052.0,5507.0,592.0,19808.0,280.0,556.0,50.4,308.0,25.0,12052.0,63207.0,31407.0,1225.0,423.0,112.0,15151.0,12081.0,79.7,512.0,493.0,2.0,397.0,370.0,69.0,2.0,6.0,1.0,3718.0,925.0,939.0,49.6
Leicester City,27.0,47.9,38.0,418.0,3420.0,53.0,38.0,5.0,6.0,0.0,0.0,1.39,1.0,2.39,1.26,2.26,48.1,43.6,31.9,1.27,0.84,2.11,1.15,1.99,38.0,38.0,3420.0,60.0,1.58,161.0,104.0,64.0,12.0,11.0,15.0,9.0,23.7,4.0,2.0,2.0,0.0,38.0,3.0,11.0,2.0,49.4,0.3,-8.6,-0.23,361.0,922.0,39.2,969.0,129.0,65.6,50.1,310.0,92.3,68.8,343.0,23.0,6.7,43.0,1.13,16.2,418.0,137.0,12.0,32.8,11.0,3.61,0.11,0.35,0.11,4.9,4.4,12331.0,16781.0,73.5,253336.0,93955.0,4962.0,5897.0,84.1,4915.0,6045.0,81.3,2182.0,4151.0,52.6,6.1,284.0,977.0,229.0,73.0,1072.0,14790.0,1991.0,428.0,36.0,2592.0,655.0,493.0,203.0,120.0,35.0,12.0,9527.0,2801.0,4453.0,4312.0,9644.0,953.0,952.0,209.0,80.0,436.0,537.0,427.0,600.0,15.79,423.0,62.0,40.0,29.0,32.0,87.0,2.29,62.0,6.0,5.0,3.0,7.0,4.0,702.0,433.0,376.0,260.0,66.0,203.0,662.0,30.7,459.0,6055.0,1758.0,29.0,2233.0,2640.0,1182.0,620.0,153.0,4.0,467.0,584.0,1188.0,6.0,21718.0,2389.0,7115.0,10604.0,5320.0,736.0,19776.0,420.0,728.0,57.7,454.0,27.0,12270.0,66572.0,35263.0,1315.0,402.0,118.0,15585.0,12331.0,79.1,468.0,457.0,4.0,370.0,362.0,95.0,6.0,4.0,2.0,3642.0,963.0,846.0,53.2
Liverpool,27.0,60.5,38.0,418.0,3420.0,82.0,58.0,2.0,3.0,0.0,0.0,2.16,1.53,3.68,2.11,3.63,72.8,70.5,50.1,1.92,1.32,3.23,1.86,3.17,38.0,38.0,3420.0,38.0,1.0,96.0,60.0,64.6,21.0,12.0,5.0,17.0,44.7,6.0,4.0,2.0,0.0,38.0,0.0,6.0,0.0,36.6,0.33,-1.4,-0.04,152.0,461.0,33.0,1020.0,205.0,34.8,35.2,202.0,52.5,45.8,286.0,29.0,10.1,28.0,0.74,14.8,642.0,228.0,22.0,35.5,16.89,6.0,0.12,0.35,0.11,9.2,9.5,20262.0,24348.0,83.2,396391.0,123731.0,7661.0,8553.0,89.6,9440.0,10592.0,89.1,2824.0,4423.0,63.8,7.9,472.0,1645.0,503.0,82.0,1910.0,22553.0,1795.0,394.0,51.0,2829.0,621.0,503.0,230.0,103.0,74.0,16.0,17605.0,2850.0,3893.0,6265.0,15661.0,804.0,894.0,306.0,61.0,343.0,613.0,430.0,1020.0,26.84,767.0,63.0,73.0,51.0,43.0,127.0,3.34,88.0,4.0,17.0,8.0,6.0,4.0,708.0,450.0,300.0,301.0,107.0,208.0,566.0,36.7,358.0,5700.0,1887.0,33.1,1588.0,2719.0,1393.0,494.0,81.0,2.0,413.0,522.0,1048.0,10.0,29202.0,2037.0,7685.0,15680.0,7742.0,1250.0,27444.0,446.0,718.0,62.1,487.0,25.0,19881.0,100875.0,56297.0,2422.0,696.0,208.0,23429.0,20262.0,86.5,553.0,486.0,0.0,349.0,308.0,74.0,3.0,6.0,0.0,3748.0,745.0,778.0,48.9
