squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Arminia,23.0,38.5,17.0,187.0,1530.0,14.0,8.0,2.0,2.0,30.0,2.0,0.82,0.47,1.29,0.71,1.18,15.9,14.3,10.4,0.93,0.61,1.55,0.84,1.46,17.0,17.0,1530.0,22.0,1.29,82.0,63.0,76.8,3.0,7.0,7.0,5.0,29.4,3.0,3.0,0.0,0.0,17.0,0.0,3.0,0.0,24.9,0.27,2.9,0.17,236.0,495.0,47.7,679.0,41.0,58.2,46.1,157.0,63.7,51.0,170.0,7.0,4.1,15.0,0.88,15.8,196.0,54.0,4.0,27.6,11.53,3.18,0.06,0.22,0.07,-1.9,-2.3,4488.0,6435.0,69.7,97078.0,40896.0,1637.0,2032.0,80.6,1880.0,2406.0,78.1,876.0,1676.0,52.3,-2.4,126.0,370.0,105.0,32.0,415.0,5607.0,828.0,193.0,6.0,1160.0,176.0,172.0,73.0,30.0,20.0,1.0,3427.0,1049.0,1959.0,1640.0,3582.0,418.0,361.0,84.0,20.0,140.0,202.0,223.0,269.0,15.82,187.0,22.0,18.0,17.0,13.0,19.0,1.12,15.0,0.0,0.0,2.0,2.0,0.0,283.0,178.0,129.0,125.0,29.0,92.0,237.0,38.8,145.0,2834.0,846.0,29.9,830.0,1341.0,663.0,265.0,63.0,2.0,202.0,314.0,454.0,6.0,8546.0,1267.0,3359.0,3492.0,2101.0,339.0,7739.0,148.0,288.0,51.4,168.0,21.0,4634.0,23127.0,11901.0,415.0,110.0,52.0,5813.0,4488.0,77.2,217.0,207.0,1.0,234.0,152.0,23.0,2.0,3.0,0.0,1586.0,413.0,457.0,47.5
Augsburg,25.0,39.4,17.0,187.0,1530.0,17.0,10.0,2.0,2.0,37.0,0.0,1.0,0.59,1.59,0.88,1.47,17.0,15.5,10.9,1.0,0.64,1.64,0.91,1.55,17.0,17.0,1530.0,26.0,1.53,70.0,46.0,65.7,4.0,6.0,7.0,5.0,29.4,2.0,2.0,0.0,0.0,17.0,0.0,2.0,2.0,21.8,0.29,-2.2,-0.13,120.0,315.0,38.1,458.0,70.0,48.0,40.7,133.0,71.4,54.2,143.0,10.0,7.0,17.0,1.0,15.6,181.0,60.0,5.0,33.1,10.65,3.53,0.08,0.25,0.09,0.0,-0.5,4448.0,6254.0,71.1,96942.0,37344.0,1602.0,1935.0,82.8,1838.0,2337.0,78.6,942.0,1726.0,54.6,-0.9,129.0,357.0,114.0,39.0,407.0,5389.0,865.0,190.0,6.0,1126.0,236.0,197.0,84.0,26.0,48.0,5.0,3350.0,1076.0,1828.0,1401.0,3738.0,348.0,414.0,109.0,37.0,150.0,234.0,187.0,253.0,14.88,179.0,31.0,10.0,13.0,11.0,19.0,1.12,11.0,3.0,0.0,4.0,1.0,0.0,304.0,178.0,158.0,110.0,36.0,96.0,281.0,34.2,185.0,2716.0,804.0,29.6,982.0,1231.0,503.0,329.0,71.0,1.0,258.0,274.0,404.0,4.0,8398.0,1159.0,3341.0,3542.0,2003.0,339.0,7555.0,129.0,253.0,51.0,136.0,11.0,4564.0,25848.0,13420.0,418.0,136.0,43.0,5770.0,4448.0,77.1,244.0,184.0,0.0,215.0,162.0,41.0,1.0,2.0,2.0,1476.0,334.0,370.0,47.4
Bayern Munich,25.0,63.4,17.0,187.0,1530.0,54.0,42.0,3.0,3.0,14.0,1.0,3.18,2.47,5.65,3.0,5.47,46.7,44.5,33.6,2.75,1.98,4.73,2.62,4.6,17.0,17.0,1530.0,16.0,0.94,51.0,35.0,68.6,14.0,1.0,2.0,6.0,35.3,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,13.2,0.26,-2.8,-0.17,106.0,180.0,58.9,685.0,107.0,24.2,30.3,100.0,14.0,27.8,130.0,10.0,7.7,33.0,1.94,21.2,340.0,135.0,7.0,39.7,20.0,7.94,0.15,0.38,0.14,7.3,6.5,9967.0,11714.0,85.1,190103.0,62337.0,4012.0,4461.0,89.9,4471.0,5006.0,89.3,1319.0,1863.0,70.8,8.4,253.0,782.0,240.0,39.0,931.0,10909.0,805.0,206.0,29.0,1566.0,295.0,241.0,102.0,50.0,32.0,5.0,8791.0,1360.0,1563.0,3591.0,7101.0,321.0,363.0,175.0,26.0,139.0,405.0,211.0,531.0,31.24,404.0,37.0,28.0,32.0,16.0,87.0,5.12,67.0,6.0,5.0,7.0,1.0,1.0,310.0,188.0,122.0,128.0,60.0,118.0,270.0,43.7,152.0,2359.0,803.0,34.0,634.0,1044.0,681.0,239.0,33.0,0.0,206.0,279.0,223.0,6.0,13766.0,1142.0,4001.0,6721.0,3970.0,708.0,13000.0,223.0,384.0,58.1,242.0,22.0,9556.0,48872.0,27295.0,1097.0,352.0,134.0,11332.0,9967.0,88.0,257.0,217.0,0.0,136.0,169.0,29.0,0.0,0.0,0.0,1669.0,252.0,241.0,51.1
Bochum,25.0,42.1,17.0,187.0,1530.0,16.0,10.0,1.0,2.0,27.0,1.0,0.94,0.59,1.53,0.88,1.47,18.5,17.0,12.2,1.09,0.72,1.81,1.0,1.72,17.0,17.0,1530.0,26.0,1.53,91.0,66.0,72.5,6.0,2.0,9.0,5.0,29.4,3.0,1.0,2.0,0.0,17.0,1.0,3.0,1.0,30.9,0.32,5.9,0.35,272.0,597.0,45.6,705.0,50.0,69.6,49.7,145.0,73.1,53.8,162.0,17.0,10.5,26.0,1.53,16.7,194.0,63.0,13.0,32.5,11.41,3.71,0.08,0.24,0.09,-2.5,-2.0,4678.0,6599.0,70.9,107484.0,41720.0,1541.0,1927.0,80.0,1927.0,2397.0,80.4,1119.0,1995.0,56.1,-2.2,128.0,373.0,82.0,28.0,378.0,5721.0,878.0,219.0,9.0,1032.0,244.0,186.0,58.0,21.0,24.0,0.0,3422.0,1020.0,2157.0,1945.0,3395.0,392.0,413.0,107.0,38.0,188.0,256.0,201.0,275.0,16.18,178.0,32.0,15.0,13.0,26.0,23.0,1.35,14.0,2.0,1.0,2.0,3.0,1.0,328.0,206.0,167.0,120.0,41.0,123.0,304.0,40.5,181.0,2703.0,785.0,29.0,918.0,1146.0,639.0,283.0,78.0,6.0,205.0,341.0,434.0,4.0,8777.0,1317.0,3531.0,3678.0,2047.0,290.0,7902.0,121.0,229.0,52.8,134.0,13.0,4679.0,25246.0,12911.0,444.0,146.0,58.0,5957.0,4678.0,78.5,233.0,169.0,0.0,199.0,199.0,40.0,2.0,2.0,1.0,1451.0,374.0,369.0,50.3
Dortmund,28.0,60.3,17.0,187.0,1530.0,39.0,25.0,6.0,6.0,34.0,1.0,2.29,1.47,3.76,1.94,3.41,31.9,27.3,20.8,1.87,1.22,3.1,1.61,2.83,17.0,17.0,1530.0,26.0,1.53,71.0,50.0,69.0,11.0,1.0,5.0,2.0,11.8,4.0,4.0,0.0,0.0,17.0,1.0,4.0,1.0,23.1,0.28,-1.9,-0.11,60.0,159.0,37.7,514.0,80.0,23.5,29.8,103.0,36.9,36.0,104.0,14.0,13.5,16.0,0.94,15.9,237.0,83.0,9.0,35.0,13.94,4.88,0.14,0.4,0.12,7.1,5.7,8894.0,10669.0,83.4,169284.0,53893.0,3561.0,4018.0,88.6,3952.0,4465.0,88.5,1205.0,1768.0,68.2,4.2,172.0,588.0,161.0,32.0,738.0,9850.0,819.0,217.0,12.0,1486.0,257.0,175.0,91.0,33.0,40.0,2.0,7944.0,1196.0,1529.0,2716.0,6951.0,337.0,359.0,134.0,29.0,129.0,344.0,243.0,382.0,22.47,267.0,37.0,20.0,28.0,24.0,62.0,3.65,41.0,2.0,4.0,4.0,8.0,3.0,321.0,217.0,130.0,142.0,49.0,106.0,249.0,42.6,143.0,2511.0,881.0,35.1,710.0,1174.0,627.0,262.0,55.0,0.0,207.0,228.0,291.0,5.0,12738.0,1221.0,4072.0,6357.0,3091.0,500.0,11957.0,158.0,312.0,50.6,181.0,10.0,8449.0,41158.0,21502.0,891.0,249.0,74.0,10169.0,8894.0,87.5,240.0,202.0,1.0,197.0,191.0,35.0,4.0,4.0,1.0,1620.0,259.0,228.0,53.2
Eint Frankfurt,24.0,48.8,17.0,187.0,1530.0,26.0,19.0,1.0,2.0,32.0,1.0,1.53,1.12,2.65,1.47,2.59,24.3,22.8,16.9,1.43,0.99,2.42,1.34,2.33,17.0,17.0,1530.0,24.0,1.41,80.0,59.0,73.8,7.0,6.0,4.0,3.0,17.6,3.0,3.0,0.0,0.0,17.0,0.0,4.0,0.0,26.3,0.3,2.3,0.14,118.0,347.0,34.0,550.0,75.0,48.9,38.1,134.0,58.2,47.8,142.0,5.0,3.5,17.0,1.0,15.2,218.0,67.0,7.0,30.7,12.82,3.94,0.11,0.37,0.11,1.7,2.2,6051.0,8108.0,74.6,122721.0,44660.0,2285.0,2717.0,84.1,2725.0,3306.0,82.4,948.0,1765.0,53.7,2.1,154.0,419.0,122.0,38.0,558.0,7242.0,866.0,199.0,13.0,1295.0,191.0,212.0,85.0,31.0,36.0,8.0,5042.0,1230.0,1836.0,2817.0,4105.0,378.0,406.0,123.0,24.0,184.0,312.0,234.0,323.0,19.0,230.0,37.0,11.0,23.0,16.0,40.0,2.35,27.0,3.0,1.0,4.0,4.0,1.0,322.0,192.0,152.0,125.0,45.0,114.0,304.0,37.5,190.0,2986.0,968.0,32.4,872.0,1363.0,751.0,319.0,73.0,4.0,246.0,265.0,375.0,4.0,10257.0,1277.0,3687.0,4800.0,2309.0,364.0,9416.0,128.0,251.0,51.0,145.0,11.0,5899.0,30220.0,15541.0,587.0,185.0,67.0,7423.0,6051.0,81.5,261.0,183.0,1.0,217.0,158.0,24.0,1.0,3.0,0.0,1696.0,370.0,402.0,47.9
Freiburg,23.0,47.8,17.0,187.0,1530.0,26.0,16.0,3.0,4.0,17.0,0.0,1.53,0.94,2.47,1.35,2.29,24.5,21.6,15.9,1.44,0.94,2.38,1.27,2.21,17.0,17.0,1530.0,16.0,0.94,76.0,62.0,80.3,8.0,5.0,4.0,6.0,35.3,1.0,1.0,0.0,0.0,17.0,1.0,2.0,1.0,19.1,0.24,4.1,0.24,164.0,380.0,43.2,564.0,71.0,48.6,43.1,136.0,77.9,63.6,154.0,11.0,7.1,12.0,0.71,15.2,231.0,81.0,6.0,35.1,13.59,4.76,0.1,0.28,0.1,1.5,1.4,5578.0,7421.0,75.2,117369.0,44804.0,2069.0,2488.0,83.2,2393.0,2853.0,83.9,1013.0,1754.0,57.8,0.1,163.0,411.0,126.0,47.0,499.0,6606.0,815.0,230.0,8.0,1257.0,224.0,200.0,87.0,53.0,17.0,2.0,4473.0,1072.0,1876.0,2044.0,4245.0,362.0,331.0,110.0,26.0,153.0,217.0,210.0,348.0,20.47,226.0,52.0,6.0,31.0,27.0,42.0,2.47,24.0,6.0,1.0,5.0,5.0,1.0,287.0,162.0,146.0,98.0,43.0,96.0,233.0,41.2,137.0,2371.0,713.0,30.1,758.0,1031.0,582.0,263.0,75.0,1.0,188.0,251.0,429.0,4.0,9426.0,1264.0,3415.0,4126.0,2454.0,407.0,8622.0,99.0,196.0,50.5,106.0,9.0,5364.0,28445.0,15272.0,503.0,170.0,50.0,6843.0,5578.0,81.5,201.0,159.0,0.0,211.0,203.0,29.0,2.0,1.0,1.0,1505.0,432.0,362.0,54.4
Greuther Fürth,25.0,43.4,17.0,187.0,1530.0,13.0,7.0,3.0,3.0,36.0,0.0,0.76,0.41,1.18,0.59,1.0,16.8,14.6,10.0,0.99,0.59,1.58,0.86,1.45,17.0,17.0,1530.0,49.0,2.88,101.0,59.0,55.4,1.0,2.0,14.0,2.0,11.8,4.0,4.0,0.0,0.0,17.0,0.0,7.0,4.0,40.2,0.37,-4.8,-0.28,155.0,416.0,37.3,562.0,55.0,54.4,44.2,141.0,78.0,56.7,149.0,8.0,5.4,25.0,1.47,16.9,165.0,50.0,3.0,30.3,9.71,2.94,0.06,0.2,0.09,-3.8,-4.6,5017.0,6790.0,73.9,103856.0,39505.0,1878.0,2221.0,84.6,2163.0,2578.0,83.9,866.0,1640.0,52.8,-3.0,120.0,359.0,86.0,29.0,453.0,5906.0,884.0,251.0,10.0,1145.0,148.0,167.0,72.0,31.0,32.0,5.0,4075.0,1003.0,1712.0,1750.0,4001.0,341.0,354.0,90.0,33.0,151.0,205.0,226.0,250.0,14.71,174.0,25.0,14.0,13.0,15.0,14.0,0.82,10.0,0.0,1.0,1.0,2.0,0.0,314.0,176.0,133.0,139.0,42.0,124.0,279.0,44.4,155.0,2699.0,835.0,30.9,791.0,1288.0,620.0,274.0,68.0,1.0,206.0,273.0,381.0,4.0,8891.0,1213.0,3329.0,3958.0,2047.0,303.0,8034.0,131.0,267.0,49.1,141.0,18.0,4896.0,24087.0,12090.0,442.0,131.0,53.0,6195.0,5017.0,81.0,252.0,177.0,0.0,222.0,216.0,36.0,2.0,4.0,4.0,1422.0,300.0,384.0,43.9
Hertha BSC,27.0,44.5,17.0,187.0,1530.0,19.0,13.0,1.0,1.0,26.0,1.0,1.12,0.76,1.88,1.06,1.82,17.8,17.0,12.3,1.05,0.73,1.77,1.0,1.73,17.0,17.0,1530.0,35.0,2.06,76.0,43.0,57.9,6.0,3.0,8.0,2.0,11.8,3.0,3.0,0.0,0.0,17.0,1.0,6.0,0.0,30.4,0.37,-4.6,-0.27,113.0,278.0,40.6,454.0,89.0,37.9,35.7,147.0,72.1,53.2,186.0,9.0,4.8,10.0,0.59,13.4,184.0,67.0,9.0,36.4,10.82,3.94,0.1,0.27,0.1,1.2,1.0,5415.0,7159.0,75.6,109692.0,39995.0,2027.0,2419.0,83.8,2378.0,2845.0,83.6,908.0,1584.0,57.3,0.7,130.0,290.0,88.0,19.0,419.0,6256.0,903.0,266.0,10.0,1213.0,213.0,153.0,68.0,25.0,32.0,2.0,4332.0,1134.0,1693.0,1815.0,4220.0,403.0,371.0,126.0,34.0,146.0,236.0,201.0,273.0,16.06,172.0,41.0,12.0,16.0,23.0,27.0,1.59,18.0,2.0,0.0,3.0,1.0,3.0,305.0,188.0,167.0,116.0,22.0,101.0,239.0,42.3,138.0,2396.0,715.0,29.8,897.0,1099.0,400.0,296.0,60.0,1.0,236.0,266.0,458.0,6.0,9387.0,1312.0,4001.0,4145.0,1787.0,286.0,8523.0,125.0,251.0,49.8,137.0,13.0,5169.0,26021.0,13584.0,471.0,163.0,43.0,6651.0,5415.0,81.4,218.0,218.0,0.0,212.0,224.0,41.0,1.0,3.0,0.0,1460.0,338.0,344.0,49.6
Hoffenheim,25.0,53.6,17.0,187.0,1530.0,34.0,23.0,0.0,0.0,36.0,0.0,2.0,1.35,3.35,2.0,3.35,29.3,29.3,21.7,1.73,1.27,3.0,1.73,3.0,17.0,17.0,1530.0,26.0,1.53,79.0,53.0,67.1,8.0,4.0,5.0,5.0,29.4,2.0,0.0,1.0,1.0,17.0,0.0,5.0,0.0,26.1,0.34,0.1,0.0,85.0,244.0,34.8,673.0,87.0,30.9,32.2,112.0,32.1,32.2,136.0,11.0,8.1,24.0,1.41,15.6,234.0,80.0,8.0,34.2,13.76,4.71,0.15,0.43,0.13,4.7,4.7,7122.0,8964.0,79.5,142564.0,48921.0,2683.0,3125.0,85.9,3170.0,3644.0,87.0,1127.0,1829.0,61.6,1.3,161.0,469.0,155.0,54.0,574.0,8048.0,916.0,238.0,15.0,1393.0,250.0,236.0,101.0,50.0,17.0,6.0,5929.0,1291.0,1744.0,2138.0,5689.0,374.0,415.0,142.0,30.0,166.0,256.0,251.0,366.0,21.53,263.0,32.0,16.0,31.0,15.0,56.0,3.29,41.0,2.0,3.0,9.0,0.0,1.0,297.0,185.0,133.0,130.0,34.0,109.0,236.0,46.2,127.0,2391.0,797.0,33.3,672.0,1125.0,594.0,255.0,49.0,0.0,206.0,245.0,318.0,4.0,10897.0,1377.0,4029.0,4818.0,2614.0,435.0,10012.0,110.0,213.0,51.6,122.0,10.0,6648.0,33056.0,17004.0,620.0,163.0,75.0,8328.0,7122.0,85.5,232.0,160.0,0.0,202.0,185.0,32.0,0.0,2.0,0.0,1455.0,298.0,349.0,46.1
