player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28.0,25.0,2184.0,5.0,1.0,0.0,0.0,7.0,0.0,0.21,0.04,0.25,0.21,0.25,3.4,3.4,1.8,0.14,0.07,0.21,0.14,0.21,24.3,33.0,11.0,4.0,33.3,1.36,0.45,0.15,0.45,0.1,1.6,1.6,887.0,1157.0,76.7,15736.0,7219.0,401.0,438.0,91.6,389.0,489.0,79.6,81.0,179.0,45.3,-0.8,17.0,66.0,25.0,6.0,97.0,885.0,272.0,27.0,1.0,120.0,28.0,42.0,11.0,2.0,7.0,0.0,664.0,233.0,260.0,731.0,163.0,23.0,234.0,4.0,3.0,18.0,35.0,32.0,41.0,1.69,22.0,11.0,5.0,1.0,1.0,3.0,0.12,2.0,0.0,1.0,0.0,0.0,0.0,55.0,35.0,39.0,14.0,2.0,27.0,46.0,58.7,19.0,264.0,92.0,34.8,139.0,93.0,32.0,35.0,5.0,0.0,30.0,45.0,69.0,2.0,1431.0,98.0,446.0,647.0,419.0,36.0,1157.0,21.0,33.0,63.6,23.0,0.0,774.0,4065.0,2209.0,117.0,37.0,9.0,781.0,706.0,90.4,20.0,19.0,0.0,23.0,13.0,3.0,0.0,0.0,0.0,213.0,7.0,10.0,41.2
Rolando Aarons,eng ENG,"FW,MF",Newcastle Utd,21,1995,4.0,1.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.1,1.5,2.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.08,-0.2,-0.2,30.0,43.0,69.8,411.0,98.0,22.0,26.0,84.6,6.0,9.0,66.7,2.0,4.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,42.0,1.0,1.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,31.0,11.0,1.0,28.0,10.0,3.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,1.0,1.0,2.0,4.0,50.0,2.0,39.0,9.0,23.1,15.0,16.0,8.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,67.0,0.0,15.0,31.0,26.0,5.0,67.0,3.0,4.0,75.0,3.0,1.0,45.0,215.0,117.0,10.0,2.0,0.0,62.0,39.0,62.9,5.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,13.0,2.0,3.0,40.0
Tammy Abraham,eng ENG,FW,Swansea City,19,1997,31.0,15.0,1726.0,5.0,1.0,0.0,0.0,0.0,0.0,0.26,0.05,0.31,0.26,0.31,6.7,6.7,1.0,0.35,0.05,0.4,0.35,0.4,19.2,42.0,13.0,0.0,31.0,2.19,0.68,0.12,0.38,0.16,-1.7,-1.7,217.0,305.0,71.1,3217.0,700.0,122.0,154.0,79.2,63.0,91.0,69.2,18.0,30.0,60.0,0.0,9.0,14.0,10.0,5.0,22.0,275.0,30.0,1.0,1.0,116.0,5.0,14.0,0.0,0.0,0.0,0.0,198.0,68.0,39.0,26.0,223.0,13.0,1.0,8.0,0.0,6.0,13.0,11.0,35.0,1.83,17.0,0.0,11.0,3.0,3.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,14.0,6.0,2.0,8.0,4.0,2.0,12.0,16.7,10.0,251.0,72.0,28.7,15.0,114.0,122.0,9.0,1.0,0.0,8.0,5.0,10.0,0.0,556.0,12.0,40.0,281.0,266.0,72.0,527.0,30.0,60.0,50.0,32.0,1.0,369.0,1302.0,595.0,32.0,10.0,5.0,833.0,406.0,48.7,58.0,44.0,0.0,16.0,30.0,9.0,0.0,0.0,0.0,66.0,53.0,87.0,37.9
Charlie Adam,sct SCO,MF,Stoke City,31,1985,11.0,5.0,411.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.4,1.1,0.26,0.24,0.5,0.1,0.33,4.6,10.0,2.0,3.0,20.0,2.19,0.44,0.0,0.0,0.04,-1.2,-0.4,170.0,286.0,59.4,4227.0,1546.0,43.0,57.0,75.4,72.0,91.0,79.1,54.0,130.0,41.5,-1.1,7.0,23.0,8.0,4.0,28.0,260.0,26.0,13.0,3.0,44.0,12.0,11.0,9.0,4.0,4.0,1.0,123.0,42.0,121.0,220.0,38.0,15.0,4.0,1.0,5.0,13.0,10.0,7.0,19.0,4.17,8.0,3.0,2.0,1.0,3.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,7.0,1.0,5.0,13.0,38.5,8.0,83.0,20.0,24.1,28.0,44.0,11.0,8.0,1.0,0.0,7.0,6.0,12.0,0.0,342.0,12.0,65.0,219.0,86.0,7.0,318.0,8.0,10.0,80.0,8.0,2.0,193.0,868.0,416.0,20.0,8.0,0.0,232.0,213.0,91.8,3.0,5.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,60.0,10.0,3.0,76.9
Adrián,es ESP,GK,West Ham,30,1987,19.0,19.0,1710.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,573.0,45.0,12278.0,9667.0,8.0,8.0,100.0,57.0,59.0,96.6,193.0,506.0,38.1,0.0,0.0,11.0,1.0,0.0,0.0,334.0,239.0,53.0,0.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,91.0,22.0,460.0,21.0,416.0,0.0,0.0,48.0,4.0,20.0,6.0,1.0,3.0,0.16,2.0,1.0,0.0,0.0,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,640.0,570.0,633.0,8.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,242.0,1659.0,1052.0,0.0,0.0,0.0,175.0,174.0,99.4,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0
Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6.0,1.0,166.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,81.0,86.4,1413.0,268.0,28.0,31.0,90.3,32.0,36.0,88.9,10.0,14.0,71.4,0.0,0.0,5.0,0.0,0.0,5.0,79.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,8.0,5.0,18.0,60.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,24.0,3.0,12.5,9.0,11.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90.0,0.0,19.0,65.0,10.0,0.0,88.0,1.0,4.0,25.0,1.0,0.0,62.0,280.0,64.0,2.0,0.0,0.0,77.0,65.0,84.4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,50.0
Benik Afobe,cd COD,"FW,MF",Bournemouth,24,1993,17.0,5.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,0.21,0.01,0.22,0.21,0.22,6.8,8.0,3.0,0.0,37.5,1.18,0.44,0.0,0.0,0.16,-1.2,-1.2,116.0,150.0,77.3,1458.0,141.0,78.0,98.0,79.6,29.0,38.0,76.3,3.0,4.0,75.0,-0.1,2.0,5.0,3.0,0.0,6.0,136.0,14.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,33.0,13.0,26.0,94.0,7.0,0.0,7.0,0.0,4.0,5.0,5.0,8.0,1.34,5.0,0.0,1.0,1.0,1.0,1.0,0.17,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,4.0,1.0,1.0,2.0,7.0,28.6,5.0,110.0,37.0,33.6,8.0,51.0,51.0,6.0,1.0,0.0,5.0,2.0,9.0,0.0,237.0,7.0,22.0,109.0,120.0,31.0,223.0,7.0,9.0,77.8,8.0,0.0,138.0,694.0,313.0,17.0,2.0,5.0,338.0,169.0,50.0,31.0,9.0,0.0,10.0,15.0,4.0,1.0,0.0,0.0,25.0,24.0,48.0,33.3
Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25.0,22.0,1963.0,21.0,6.0,4.0,4.0,2.0,0.0,0.96,0.28,1.24,0.78,1.05,17.5,14.4,7.4,0.8,0.34,1.14,0.66,1.0,21.8,90.0,38.0,1.0,42.2,4.13,1.74,0.19,0.45,0.16,3.5,2.6,528.0,643.0,82.1,6912.0,1225.0,363.0,410.0,88.5,136.0,170.0,80.0,13.0,19.0,68.4,-1.4,40.0,24.0,24.0,0.0,38.0,616.0,27.0,0.0,7.0,134.0,3.0,14.0,1.0,0.0,0.0,0.0,491.0,93.0,59.0,73.0,539.0,15.0,3.0,7.0,3.0,8.0,20.0,22.0,78.0,3.58,59.0,0.0,7.0,6.0,3.0,13.0,0.6,10.0,0.0,2.0,0.0,0.0,1.0,13.0,8.0,2.0,6.0,5.0,2.0,13.0,15.4,11.0,246.0,80.0,32.5,18.0,88.0,140.0,14.0,2.0,0.0,12.0,14.0,5.0,0.0,944.0,8.0,42.0,381.0,594.0,183.0,912.0,39.0,61.0,63.9,47.0,1.0,692.0,3681.0,1999.0,128.0,34.0,33.0,1230.0,757.0,61.5,58.0,61.0,0.0,12.0,20.0,16.0,0.0,0.0,0.0,90.0,12.0,26.0,31.6
Nathan Aké,nl NED,DF,Bournemouth,22,1995,38.0,37.0,3353.0,2.0,3.0,0.0,0.0,5.0,0.0,0.05,0.08,0.13,0.05,0.13,2.4,2.4,1.9,0.07,0.05,0.12,0.07,0.12,37.3,20.0,6.0,0.0,30.0,0.54,0.16,0.1,0.33,0.12,-0.4,-0.4,1339.0,1564.0,85.6,28014.0,9652.0,404.0,452.0,89.4,696.0,783.0,88.9,221.0,294.0,75.2,1.1,6.0,62.0,2.0,0.0,75.0,1498.0,66.0,53.0,2.0,163.0,27.0,5.0,0.0,0.0,0.0,0.0,1159.0,178.0,227.0,1193.0,188.0,123.0,13.0,5.0,0.0,25.0,26.0,20.0,18.0,0.48,16.0,0.0,1.0,0.0,1.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,59.0,31.0,39.0,18.0,2.0,18.0,36.0,50.0,18.0,368.0,115.0,31.3,244.0,107.0,17.0,65.0,28.0,1.0,37.0,58.0,306.0,0.0,2070.0,319.0,1302.0,803.0,100.0,49.0,2007.0,7.0,7.0,100.0,7.0,0.0,1043.0,6585.0,3507.0,77.0,9.0,0.0,1174.0,1118.0,95.2,7.0,7.0,0.0,30.0,22.0,2.0,0.0,0.0,0.0,356.0,129.0,99.0,56.6
Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,34.0,30.0,2538.0,2.0,7.0,0.0,0.0,5.0,1.0,0.07,0.25,0.32,0.07,0.32,1.6,1.6,5.1,0.06,0.18,0.24,0.06,0.24,28.2,20.0,6.0,1.0,30.0,0.71,0.21,0.1,0.33,0.08,0.4,0.4,757.0,1254.0,60.4,15755.0,6986.0,322.0,403.0,79.9,266.0,392.0,67.9,157.0,399.0,39.3,1.9,45.0,96.0,37.0,15.0,117.0,1097.0,157.0,30.0,8.0,193.0,90.0,121.0,64.0,41.0,12.0,5.0,612.0,230.0,412.0,104.0,1050.0,20.0,61.0,4.0,9.0,49.0,61.0,65.0,67.0,2.38,49.0,12.0,2.0,1.0,1.0,12.0,0.43,10.0,1.0,0.0,0.0,0.0,1.0,62.0,42.0,26.0,26.0,10.0,18.0,60.0,30.0,42.0,545.0,144.0,26.4,211.0,224.0,110.0,44.0,4.0,0.0,40.0,40.0,37.0,0.0,1591.0,62.0,337.0,732.0,633.0,39.0,1437.0,62.0,110.0,56.4,63.0,8.0,1072.0,5358.0,2697.0,134.0,36.0,6.0,1212.0,983.0,81.1,46.0,36.0,0.0,24.0,32.0,1.0,0.0,1.0,0.0,240.0,20.0,26.0,43.5
