player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Andrea Masiello,it ITA,DF,Genoa,35-333,1986,7.0,6.0,515.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,5.7,2.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.02,0.0,0.0,271.0,308.0,88.0,5679.0,1968.0,89.0,95.0,93.7,132.0,148.0,89.2,49.0,61.0,80.3,0.0,1.0,6.0,0.0,0.0,14.0,302.0,6.0,4.0,0.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,233.0,30.0,45.0,49.0,234.0,16.0,0.0,3.0,1.0,3.0,4.0,3.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,4.0,9.0,44.4,5.0,43.0,14.0,32.6,27.0,16.0,0.0,11.0,4.0,0.0,7.0,12.0,25.0,0.0,363.0,64.0,218.0,153.0,12.0,3.0,357.0,0.0,0.0,0.0,0.0,0.0,225.0,1023.0,553.0,10.0,0.0,0.0,232.0,227.0,97.8,1.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,67.0,9.0,8.0,52.9
Borja Mayoral,es ESP,"FW,DF",Roma,24-274,1997,4.0,1.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,1.0,1.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.1,-0.1,-0.1,28.0,36.0,77.8,430.0,41.0,16.0,18.0,88.9,8.0,9.0,88.9,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,6.0,4.0,7.0,26.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,41.7,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,4.0,20.0,22.0,4.0,43.0,1.0,4.0,25.0,1.0,0.0,33.0,88.0,16.0,1.0,0.0,0.0,54.0,37.0,68.5,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Pasquale Mazzocchi,it ITA,DF,Venezia,26-161,1995,17.0,14.0,1153.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9,0.04,0.07,0.11,0.04,0.11,12.8,6.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.08,-0.5,-0.5,419.0,545.0,76.9,7788.0,2813.0,179.0,204.0,87.7,176.0,217.0,81.1,55.0,101.0,54.5,-0.9,6.0,22.0,7.0,1.0,28.0,430.0,115.0,7.0,0.0,57.0,12.0,29.0,0.0,0.0,0.0,0.0,303.0,118.0,124.0,37.0,382.0,11.0,108.0,2.0,2.0,7.0,23.0,19.0,10.0,0.78,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,13.0,1.0,3.0,7.0,19.0,36.8,12.0,183.0,56.0,30.6,78.0,78.0,27.0,27.0,8.0,0.0,19.0,38.0,32.0,0.0,709.0,49.0,289.0,293.0,190.0,4.0,597.0,15.0,31.0,48.4,18.0,3.0,439.0,2612.0,1579.0,61.0,21.0,1.0,425.0,386.0,90.8,18.0,25.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,80.0,16.0,16.0,50.0
Ibrahima Mbaye,sn SEN,DF,Bologna,27-046,1994,3.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,78.1,318.0,179.0,16.0,18.0,88.9,9.0,12.0,75.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,27.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,6.0,7.0,1.0,21.0,3.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,8.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,43.0,9.0,16.0,19.0,8.0,0.0,38.0,1.0,2.0,50.0,2.0,1.0,20.0,66.0,26.0,1.0,0.0,0.0,36.0,27.0,75.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,66.7
Weston McKennie,us USA,MF,Juventus,23-129,1998,13.0,10.0,869.0,2.0,0.0,0.0,0.0,1.0,0.0,0.21,0.0,0.21,0.21,0.21,1.2,1.2,0.8,0.13,0.09,0.22,0.13,0.22,9.7,12.0,3.0,0.0,25.0,1.24,0.31,0.17,0.67,0.1,0.8,0.8,273.0,367.0,74.4,4614.0,1203.0,141.0,175.0,80.6,98.0,135.0,72.6,26.0,37.0,70.3,-0.8,11.0,24.0,10.0,1.0,24.0,343.0,24.0,3.0,1.0,74.0,8.0,11.0,0.0,0.0,0.0,0.0,240.0,63.0,64.0,55.0,255.0,17.0,20.0,4.0,1.0,5.0,24.0,11.0,18.0,1.86,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,11.0,4.0,2.0,6.0,16.0,37.5,10.0,181.0,57.0,31.5,72.0,82.0,27.0,19.0,3.0,0.0,16.0,15.0,9.0,0.0,476.0,17.0,122.0,234.0,143.0,29.0,452.0,7.0,11.0,63.6,9.0,1.0,255.0,1239.0,714.0,37.0,12.0,2.0,385.0,310.0,80.5,11.0,15.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,64.0,21.0,17.0,55.3
Gary Medel,cl CHI,DF,Bologna,34-154,1987,19.0,18.0,1620.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,1019.0,90.9,21654.0,7041.0,224.0,236.0,94.9,458.0,476.0,96.2,237.0,294.0,80.6,1.0,1.0,37.0,3.0,1.0,38.0,951.0,68.0,61.0,0.0,65.0,29.0,2.0,0.0,0.0,0.0,0.0,750.0,87.0,182.0,104.0,861.0,38.0,5.0,2.0,2.0,9.0,9.0,7.0,4.0,0.22,4.0,0.0,0.0,0.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,16.0,5.0,0.0,8.0,19.0,42.1,11.0,145.0,50.0,34.5,88.0,50.0,7.0,24.0,11.0,0.0,13.0,30.0,72.0,0.0,1157.0,212.0,669.0,536.0,13.0,0.0,1092.0,6.0,7.0,85.7,6.0,0.0,757.0,4105.0,2009.0,35.0,4.0,0.0,771.0,768.0,99.6,0.0,2.0,0.0,17.0,18.0,0.0,0.0,1.0,0.0,159.0,18.0,15.0,54.5
Filippo Melegoni,it ITA,"MF,FW",Genoa,22-320,1999,7.0,2.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,0.61,0.61,0.1,0.1,0.1,0.06,0.03,0.09,0.06,0.09,1.6,2.0,2.0,0.0,100.0,1.22,1.22,0.5,0.5,0.05,0.9,0.9,41.0,56.0,73.2,711.0,196.0,19.0,20.0,95.0,17.0,22.0,77.3,4.0,9.0,44.4,-0.1,1.0,1.0,2.0,0.0,9.0,53.0,3.0,1.0,0.0,10.0,1.0,2.0,1.0,1.0,0.0,0.0,38.0,8.0,10.0,4.0,48.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,3.0,1.82,3.0,0.0,0.0,0.0,0.0,2.0,1.22,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,39.0,5.0,12.8,6.0,24.0,9.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,74.0,1.0,13.0,36.0,31.0,4.0,71.0,1.0,4.0,25.0,1.0,0.0,54.0,246.0,154.0,6.0,3.0,0.0,77.0,52.0,67.5,5.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,25.0
Arthur Melo,br BRA,MF,Juventus,25-145,1996,6.0,3.0,244.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,182.0,89.0,3336.0,752.0,54.0,60.0,90.0,86.0,91.0,94.5,22.0,25.0,88.0,0.0,3.0,22.0,0.0,0.0,16.0,173.0,9.0,9.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,152.0,15.0,15.0,7.0,170.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,6.0,2.21,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,4.0,4.0,0.0,4.0,10.0,40.0,6.0,72.0,25.0,34.7,30.0,35.0,7.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,205.0,6.0,54.0,151.0,22.0,2.0,198.0,2.0,3.0,66.7,3.0,0.0,163.0,968.0,405.0,17.0,1.0,0.0,166.0,162.0,97.6,2.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,20.0,4.0,4.0,50.0
Alex Meret,it ITA,GK,Napoli,24-288,1997,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,44.0,86.4,915.0,455.0,12.0,12.0,100.0,12.0,13.0,92.3,13.0,18.0,72.2,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,13.0,23.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,44.0,47.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,60.0,24.0,0.0,0.0,0.0,21.0,21.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Yıldırım Mert Çetin,tr TUR,DF,Hellas Verona,25-003,1997,2.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,75.8,498.0,275.0,9.0,11.0,81.8,14.0,17.0,82.4,2.0,3.0,66.7,0.0,0.0,3.0,0.0,0.0,3.0,22.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,10.0,2.0,16.0,2.0,11.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,2.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,44.0,4.0,11.0,19.0,16.0,0.0,33.0,0.0,1.0,0.0,0.0,0.0,19.0,93.0,39.0,2.0,1.0,0.0,25.0,22.0,88.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
