player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Aymen Abdennour,tn TUN,DF,Marseille,27,1989,8.0,6.0,500.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.0,0.02,0.02,0.02,5.6,2.0,1.0,0.0,50.0,0.36,0.18,0.0,0.0,0.04,-0.1,-0.1,304.0,336.0,90.5,6306.0,1794.0,90.0,99.0,90.9,166.0,174.0,95.4,45.0,56.0,80.4,0.0,0.0,11.0,0.0,0.0,7.0,335.0,1.0,1.0,0.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,285.0,24.0,27.0,294.0,20.0,17.0,0.0,2.0,1.0,6.0,2.0,4.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,1.0,0.0,4.0,7.0,57.1,3.0,23.0,8.0,34.8,17.0,6.0,0.0,6.0,3.0,0.0,3.0,2.0,8.0,1.0,359.0,34.0,224.0,160.0,5.0,2.0,358.0,1.0,1.0,100.0,1.0,0.0,269.0,1828.0,762.0,11.0,1.0,0.0,267.0,259.0,97.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,57.0,3.0,0.0,100.0
Mehdi Abeid,dz ALG,MF,Dijon,24,1992,19.0,14.0,1176.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,1.0,1.0,0.2,0.08,0.02,0.09,0.08,0.09,13.1,21.0,6.0,2.0,28.6,1.61,0.46,0.0,0.0,0.05,-1.0,-1.0,519.0,611.0,84.9,10250.0,2390.0,177.0,196.0,90.3,250.0,281.0,89.0,81.0,109.0,74.3,0.8,6.0,48.0,2.0,0.0,47.0,598.0,13.0,8.0,0.0,78.0,20.0,7.0,1.0,0.0,0.0,0.0,494.0,45.0,72.0,47.0,520.0,36.0,4.0,1.0,1.0,16.0,15.0,10.0,15.0,1.15,11.0,1.0,0.0,2.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,11.0,9.0,1.0,4.0,23.0,17.4,19.0,206.0,68.0,33.0,63.0,120.0,23.0,23.0,4.0,0.0,19.0,15.0,14.0,0.0,762.0,30.0,257.0,453.0,129.0,16.0,749.0,11.0,22.0,50.0,13.0,1.0,551.0,3340.0,1512.0,40.0,13.0,1.0,537.0,493.0,91.8,14.0,17.0,0.0,34.0,17.0,2.0,0.0,0.0,0.0,142.0,3.0,5.0,37.5
Khaled Adénon,bj BEN,DF,Amiens,32,1985,34.0,32.0,2921.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.03,0.03,0.0,0.03,0.5,0.5,0.3,0.02,0.01,0.03,0.02,0.03,32.5,5.0,1.0,0.0,20.0,0.15,0.03,0.0,0.0,0.1,-0.5,-0.5,958.0,1168.0,82.0,21066.0,7904.0,254.0,295.0,86.1,503.0,565.0,89.0,189.0,278.0,68.0,0.7,3.0,39.0,1.0,0.0,44.0,1124.0,44.0,43.0,1.0,141.0,28.0,1.0,0.0,0.0,0.0,0.0,817.0,94.0,257.0,220.0,792.0,137.0,1.0,3.0,3.0,35.0,14.0,16.0,7.0,0.22,4.0,1.0,0.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,41.0,27.0,27.0,13.0,1.0,9.0,32.0,28.1,23.0,209.0,78.0,37.3,148.0,58.0,3.0,50.0,24.0,0.0,26.0,50.0,166.0,3.0,1504.0,262.0,1045.0,535.0,17.0,10.0,1464.0,1.0,3.0,33.3,1.0,0.0,778.0,4515.0,2233.0,27.0,0.0,0.0,709.0,691.0,97.5,5.0,6.0,0.0,55.0,39.0,1.0,0.0,1.0,0.0,394.0,23.0,22.0,51.1
Ruben Aguilar,fr FRA,"DF,MF",Montpellier,24,1993,31.0,27.0,2459.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,0.7,0.7,2.6,0.03,0.09,0.12,0.03,0.12,27.3,15.0,5.0,0.0,33.3,0.55,0.18,0.0,0.0,0.05,-0.7,-0.7,1114.0,1478.0,75.4,18488.0,8970.0,558.0,631.0,88.4,428.0,564.0,75.9,99.0,215.0,46.0,0.4,31.0,90.0,30.0,20.0,125.0,1191.0,287.0,8.0,0.0,212.0,29.0,83.0,0.0,0.0,0.0,0.0,855.0,201.0,422.0,77.0,1046.0,72.0,279.0,1.0,11.0,35.0,50.0,55.0,60.0,2.2,45.0,7.0,1.0,3.0,3.0,6.0,0.22,5.0,0.0,0.0,1.0,0.0,0.0,71.0,27.0,33.0,27.0,11.0,28.0,57.0,49.1,29.0,465.0,131.0,28.2,243.0,157.0,65.0,57.0,2.0,0.0,55.0,33.0,54.0,1.0,1796.0,62.0,507.0,825.0,616.0,34.0,1519.0,19.0,39.0,48.7,24.0,1.0,1078.0,6460.0,4295.0,180.0,71.0,6.0,1145.0,1039.0,90.7,27.0,30.0,0.0,28.0,51.0,3.0,0.0,0.0,0.0,211.0,9.0,14.0,39.1
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,23,1994,35.0,35.0,3006.0,5.0,0.0,0.0,0.0,4.0,0.0,0.15,0.0,0.15,0.15,0.15,2.9,2.9,0.6,0.09,0.02,0.11,0.09,0.11,33.4,44.0,7.0,0.0,15.9,1.32,0.21,0.11,0.71,0.07,2.1,2.1,1147.0,1346.0,85.2,22056.0,4826.0,440.0,498.0,88.4,500.0,552.0,90.6,178.0,239.0,74.5,-0.6,11.0,97.0,9.0,0.0,91.0,1335.0,11.0,10.0,1.0,214.0,34.0,1.0,0.0,0.0,0.0,0.0,1074.0,90.0,182.0,965.0,267.0,93.0,1.0,2.0,3.0,24.0,23.0,25.0,32.0,0.96,24.0,0.0,0.0,5.0,3.0,7.0,0.21,4.0,0.0,0.0,1.0,2.0,0.0,59.0,42.0,27.0,27.0,5.0,13.0,40.0,32.5,27.0,381.0,107.0,28.1,158.0,193.0,30.0,46.0,8.0,0.0,38.0,71.0,53.0,3.0,1696.0,81.0,559.0,1000.0,254.0,37.0,1689.0,23.0,33.0,69.7,26.0,0.0,1122.0,5591.0,2744.0,99.0,28.0,2.0,1043.0,976.0,93.6,31.0,24.0,0.0,42.0,51.0,1.0,0.0,0.0,0.0,405.0,20.0,14.0,58.8
Youssef Aït Bennasser,ma MAR,MF,Caen,21,1996,27.0,25.0,2048.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.1,0.03,0.05,0.08,0.03,0.08,22.8,24.0,3.0,0.0,12.5,1.05,0.13,0.0,0.0,0.03,-0.7,-0.7,938.0,1145.0,81.9,20285.0,5737.0,303.0,337.0,89.9,420.0,491.0,85.5,198.0,279.0,71.0,-1.1,16.0,135.0,6.0,1.0,129.0,1130.0,15.0,10.0,3.0,202.0,59.0,9.0,2.0,0.0,0.0,0.0,871.0,67.0,207.0,166.0,897.0,71.0,1.0,4.0,3.0,28.0,24.0,25.0,50.0,2.2,40.0,1.0,2.0,1.0,5.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,43.0,28.0,15.0,23.0,5.0,14.0,62.0,22.6,48.0,504.0,115.0,22.8,156.0,292.0,56.0,37.0,2.0,0.0,35.0,37.0,17.0,0.0,1378.0,47.0,387.0,900.0,241.0,10.0,1363.0,48.0,60.0,80.0,50.0,3.0,1014.0,6550.0,3636.0,115.0,45.0,4.0,952.0,881.0,92.5,12.0,26.0,0.0,22.0,29.0,0.0,0.0,0.0,0.0,298.0,6.0,13.0,31.6
David Alcibiade,fr FRA,DF,Nantes,25,1991,3.0,2.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.03,0.08,0.1,0.03,0.1,2.3,2.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.03,-0.1,-0.1,69.0,94.0,73.4,1326.0,645.0,28.0,30.0,93.3,27.0,34.0,79.4,12.0,28.0,42.9,-0.2,2.0,5.0,2.0,1.0,9.0,75.0,19.0,2.0,0.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,41.0,14.0,39.0,7.0,59.0,9.0,17.0,1.0,0.0,2.0,1.0,0.0,2.0,0.87,2.0,0.0,0.0,0.0,0.0,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,1.0,2.0,3.0,3.0,100.0,0.0,13.0,1.0,7.7,10.0,3.0,0.0,8.0,3.0,1.0,5.0,4.0,5.0,0.0,120.0,13.0,48.0,50.0,33.0,3.0,102.0,0.0,0.0,0.0,0.0,0.0,52.0,352.0,232.0,4.0,3.0,0.0,47.0,46.0,97.9,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,25.0,1.0,1.0,50.0
Júnior Alonso,py PAR,DF,Lille,24,1993,34.0,30.0,2782.0,2.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,0.9,0.9,0.6,0.03,0.02,0.05,0.03,0.05,30.9,16.0,4.0,0.0,25.0,0.52,0.13,0.13,0.5,0.05,1.1,1.1,1495.0,1875.0,79.7,34187.0,14235.0,366.0,425.0,86.1,797.0,904.0,88.2,324.0,515.0,62.9,-0.6,9.0,101.0,6.0,2.0,100.0,1816.0,59.0,33.0,3.0,253.0,54.0,6.0,1.0,0.0,0.0,0.0,1283.0,128.0,464.0,1305.0,362.0,139.0,25.0,4.0,4.0,43.0,32.0,24.0,21.0,0.68,19.0,2.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,50.0,26.0,30.0,19.0,1.0,13.0,43.0,30.2,30.0,195.0,61.0,31.3,123.0,66.0,6.0,43.0,16.0,0.0,27.0,42.0,115.0,1.0,2158.0,189.0,1266.0,983.0,96.0,23.0,2100.0,11.0,13.0,84.6,11.0,0.0,1379.0,8277.0,4833.0,85.0,20.0,0.0,1332.0,1306.0,98.0,9.0,7.0,0.0,35.0,8.0,0.0,0.0,0.0,1.0,420.0,49.0,17.0,74.2
Dani Alves,br BRA,DF,Paris S-G,34,1983,25.0,23.0,2065.0,1.0,4.0,0.0,0.0,7.0,1.0,0.04,0.17,0.22,0.04,0.22,1.4,1.4,5.6,0.06,0.25,0.3,0.06,0.3,22.9,30.0,6.0,9.0,20.0,1.31,0.26,0.03,0.17,0.05,-0.4,-0.4,1686.0,1987.0,84.9,27933.0,11149.0,919.0,997.0,92.2,530.0,618.0,85.8,186.0,284.0,65.5,-1.6,48.0,139.0,63.0,20.0,176.0,1848.0,139.0,15.0,6.0,376.0,73.0,73.0,5.0,0.0,0.0,0.0,1405.0,218.0,364.0,184.0,1622.0,48.0,118.0,7.0,8.0,29.0,54.0,40.0,84.0,3.66,72.0,4.0,0.0,7.0,1.0,12.0,0.52,12.0,0.0,0.0,0.0,0.0,0.0,73.0,52.0,44.0,22.0,7.0,19.0,45.0,42.2,26.0,354.0,121.0,34.2,159.0,123.0,72.0,36.0,3.0,0.0,33.0,28.0,11.0,0.0,2246.0,50.0,559.0,1167.0,675.0,50.0,2105.0,20.0,41.0,48.8,21.0,2.0,1645.0,7669.0,4648.0,202.0,69.0,8.0,1703.0,1645.0,96.6,20.0,24.0,0.0,38.0,35.0,4.0,0.0,0.0,0.0,231.0,9.0,8.0,52.9
Ibrahim Amadou,fr FRA,"MF,DF",Lille,24,1993,30.0,30.0,2405.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.5,0.04,0.02,0.06,0.04,0.06,26.7,19.0,3.0,0.0,15.8,0.71,0.11,0.0,0.0,0.06,-1.1,-1.1,1339.0,1539.0,87.0,29082.0,8432.0,372.0,417.0,89.2,699.0,749.0,93.3,251.0,342.0,73.4,-0.5,11.0,118.0,3.0,1.0,104.0,1528.0,11.0,11.0,4.0,223.0,60.0,4.0,0.0,0.0,0.0,0.0,1255.0,70.0,214.0,140.0,1321.0,61.0,0.0,2.0,4.0,34.0,25.0,18.0,22.0,0.82,19.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,30.0,32.0,11.0,0.0,13.0,37.0,35.1,24.0,249.0,80.0,32.1,126.0,113.0,10.0,49.0,17.0,0.0,32.0,31.0,56.0,1.0,1781.0,111.0,787.0,1002.0,130.0,18.0,1770.0,9.0,9.0,100.0,9.0,0.0,1276.0,6933.0,3504.0,68.0,25.0,0.0,1262.0,1232.0,97.6,15.0,14.0,0.0,29.0,19.0,0.0,0.0,1.0,0.0,263.0,16.0,13.0,55.2
