squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alavés,32.0,41.1,38.0,418.0,3420.0,34.0,20.0,6.0,6.0,111.0,7.0,0.89,0.53,1.42,0.74,1.26,37.0,32.5,23.5,0.97,0.62,1.59,0.86,1.48,38.0,38.0,3418.0,59.0,1.55,147.0,98.0,68.0,10.0,9.0,19.0,9.0,23.7,15.0,12.0,3.0,0.0,38.0,3.0,3.0,0.0,57.0,0.32,-2.0,-0.05,401.0,881.0,45.5,787.0,110.0,71.5,50.4,348.0,91.4,62.5,356.0,22.0,6.2,18.0,0.47,14.0,299.0,99.0,10.0,33.1,7.87,2.61,0.09,0.28,0.11,-3.0,-4.5,9724.0,13753.0,70.7,207059.0,86512.0,3828.0,4695.0,81.5,3894.0,4960.0,78.5,1814.0,3529.0,51.4,-3.5,220.0,751.0,177.0,50.0,858.0,11751.0,2002.0,544.0,25.0,2598.0,458.0,373.0,136.0,42.0,51.0,11.0,6874.0,2348.0,4531.0,4294.0,6628.0,1070.0,876.0,203.0,58.0,408.0,199.0,385.0,465.0,12.24,295.0,72.0,20.0,27.0,40.0,53.0,1.39,31.0,7.0,1.0,6.0,7.0,1.0,613.0,370.0,295.0,269.0,49.0,194.0,580.0,33.4,386.0,5609.0,1464.0,26.1,1757.0,2820.0,1032.0,576.0,120.0,0.0,456.0,214.0,1085.0,8.0,17992.0,2141.0,6134.0,8850.0,3878.0,563.0,16042.0,250.0,466.0,53.6,277.0,14.0,9417.0,46382.0,22620.0,875.0,257.0,84.0,12391.0,9724.0,78.5,458.0,386.0,3.0,621.0,433.0,61.0,5.0,14.0,0.0,3348.0,823.0,617.0,57.2
Athletic Club,26.0,48.7,38.0,418.0,3420.0,40.0,23.0,8.0,10.0,90.0,2.0,1.05,0.61,1.66,0.84,1.45,38.5,31.0,23.6,1.01,0.62,1.64,0.81,1.44,38.0,38.0,3416.0,38.0,1.0,121.0,87.0,72.7,13.0,12.0,13.0,12.0,31.6,7.0,5.0,0.0,2.0,38.0,2.0,4.0,2.0,43.1,0.33,7.1,0.19,363.0,871.0,41.7,978.0,168.0,61.8,47.1,298.0,89.6,65.6,384.0,29.0,7.6,18.0,0.47,13.7,400.0,130.0,14.0,32.5,10.53,3.42,0.08,0.25,0.08,1.5,1.0,12589.0,16607.0,75.8,263278.0,92587.0,4837.0,5640.0,85.8,5222.0,6296.0,82.9,2312.0,4050.0,57.1,-0.6,274.0,929.0,223.0,80.0,1028.0,14664.0,1943.0,518.0,30.0,2732.0,652.0,474.0,178.0,60.0,63.0,22.0,9260.0,3033.0,4314.0,4000.0,9898.0,929.0,874.0,277.0,70.0,437.0,210.0,417.0,585.0,15.39,384.0,74.0,42.0,26.0,47.0,57.0,1.5,38.0,3.0,3.0,5.0,8.0,0.0,578.0,353.0,286.0,219.0,73.0,191.0,618.0,30.9,427.0,5431.0,1547.0,28.5,1706.0,2478.0,1247.0,573.0,99.0,2.0,474.0,238.0,1130.0,8.0,20945.0,2191.0,6617.0,10445.0,5181.0,655.0,19036.0,342.0,567.0,60.3,374.0,22.0,12246.0,64419.0,34662.0,1342.0,447.0,93.0,15307.0,12589.0,82.2,468.0,398.0,0.0,522.0,435.0,84.0,6.0,7.0,2.0,3458.0,836.0,686.0,54.9
Atlético Madrid,30.0,48.5,38.0,418.0,3420.0,50.0,35.0,6.0,8.0,93.0,3.0,1.32,0.92,2.24,1.16,2.08,52.6,46.5,34.4,1.38,0.9,2.29,1.22,2.13,38.0,38.0,3420.0,27.0,0.71,106.0,83.0,77.4,18.0,16.0,4.0,17.0,44.7,4.0,3.0,0.0,1.0,38.0,1.0,4.0,3.0,25.2,0.22,1.2,0.03,263.0,659.0,39.9,651.0,112.0,64.2,46.9,315.0,76.5,56.5,349.0,19.0,5.4,18.0,0.47,14.0,437.0,136.0,12.0,31.1,11.5,3.58,0.1,0.32,0.11,-2.6,-2.5,13709.0,17595.0,77.9,257089.0,96920.0,6091.0,6947.0,87.7,5362.0,6383.0,84.0,1871.0,3468.0,54.0,0.6,329.0,1037.0,302.0,59.0,1287.0,15679.0,1916.0,514.0,49.0,2731.0,429.0,420.0,183.0,46.0,86.0,20.0,10695.0,2609.0,4291.0,4090.0,10967.0,914.0,836.0,226.0,100.0,314.0,222.0,420.0,710.0,18.68,491.0,83.0,39.0,43.0,44.0,79.0,2.08,53.0,6.0,8.0,5.0,7.0,0.0,670.0,431.0,310.0,272.0,88.0,261.0,682.0,38.3,421.0,5111.0,1532.0,30.0,1616.0,2385.0,1110.0,659.0,124.0,1.0,535.0,221.0,990.0,6.0,22042.0,2034.0,6513.0,11157.0,5571.0,876.0,20176.0,350.0,585.0,59.8,372.0,18.0,13465.0,63061.0,32999.0,1353.0,397.0,128.0,16316.0,13709.0,84.0,519.0,396.0,2.0,513.0,479.0,116.0,6.0,4.0,3.0,3493.0,785.0,695.0,53.0
Barcelona,28.0,66.9,38.0,418.0,3420.0,84.0,62.0,6.0,6.0,92.0,6.0,2.21,1.63,3.84,2.05,3.68,66.2,61.8,48.2,1.74,1.27,3.01,1.63,2.89,38.0,38.0,3420.0,38.0,1.0,113.0,79.0,71.7,25.0,7.0,6.0,15.0,39.5,7.0,6.0,1.0,0.0,38.0,2.0,1.0,0.0,36.3,0.27,-1.7,-0.05,209.0,348.0,60.1,1247.0,182.0,22.5,28.6,234.0,28.6,30.4,279.0,13.0,4.7,28.0,0.74,15.0,491.0,214.0,46.0,43.6,12.92,5.63,0.16,0.36,0.13,17.8,16.2,24981.0,28212.0,88.5,447366.0,126905.0,11376.0,12316.0,92.4,10305.0,11200.0,92.0,2786.0,3644.0,76.5,14.8,383.0,1884.0,439.0,51.0,1665.0,26484.0,1728.0,576.0,109.0,3916.0,571.0,362.0,185.0,90.0,30.0,3.0,21537.0,3652.0,3023.0,10123.0,16258.0,640.0,637.0,307.0,78.0,259.0,419.0,509.0,878.0,23.11,663.0,39.0,78.0,28.0,62.0,149.0,3.92,113.0,6.0,12.0,5.0,12.0,1.0,545.0,368.0,224.0,228.0,93.0,166.0,462.0,35.9,296.0,4843.0,1487.0,30.7,1268.0,2305.0,1270.0,493.0,93.0,4.0,400.0,239.0,638.0,9.0,32096.0,2720.0,8347.0,16677.0,9213.0,1180.0,30469.0,510.0,820.0,62.2,541.0,27.0,23589.0,114309.0,64064.0,2772.0,802.0,213.0,27494.0,24981.0,90.9,392.0,366.0,3.0,416.0,529.0,82.0,3.0,7.0,1.0,3094.0,431.0,321.0,57.3
Betis,27.0,57.1,38.0,418.0,3420.0,48.0,35.0,6.0,8.0,108.0,9.0,1.26,0.92,2.18,1.11,2.03,47.3,41.4,32.3,1.24,0.85,2.1,1.09,1.94,38.0,38.0,3418.0,60.0,1.58,144.0,94.0,66.0,10.0,11.0,17.0,6.0,15.8,11.0,11.0,0.0,0.0,38.0,1.0,4.0,1.0,52.6,0.3,-6.4,-0.17,208.0,540.0,38.5,1065.0,169.0,38.9,36.2,281.0,44.8,40.4,354.0,24.0,6.8,29.0,0.76,15.2,461.0,153.0,19.0,33.2,12.13,4.03,0.09,0.27,0.09,0.7,0.6,16291.0,19618.0,83.0,318743.0,95412.0,6579.0,7296.0,90.2,6841.0,7658.0,89.3,2509.0,3828.0,65.5,2.7,348.0,977.0,340.0,88.0,1093.0,17546.0,2072.0,701.0,35.0,3058.0,632.0,454.0,185.0,53.0,50.0,9.0,13183.0,2895.0,3540.0,7646.0,9874.0,674.0,802.0,275.0,67.0,336.0,222.0,463.0,773.0,20.34,575.0,54.0,54.0,30.0,39.0,78.0,2.05,54.0,4.0,5.0,6.0,6.0,3.0,534.0,331.0,285.0,190.0,59.0,160.0,495.0,32.3,335.0,4932.0,1308.0,26.5,1590.0,2228.0,1114.0,562.0,141.0,1.0,421.0,208.0,941.0,5.0,23922.0,2708.0,8180.0,11426.0,5892.0,941.0,21929.0,447.0,692.0,64.6,482.0,27.0,16015.0,84257.0,45987.0,1858.0,539.0,193.0,18549.0,16291.0,87.8,488.0,406.0,3.0,473.0,578.0,84.0,6.0,11.0,1.0,2946.0,559.0,529.0,51.4
Celta Vigo,30.0,51.9,38.0,418.0,3420.0,37.0,26.0,6.0,9.0,104.0,6.0,0.97,0.68,1.66,0.82,1.5,37.7,30.9,24.9,0.99,0.65,1.65,0.81,1.47,38.0,38.0,3420.0,49.0,1.29,141.0,96.0,68.8,7.0,16.0,15.0,12.0,31.6,5.0,5.0,0.0,0.0,38.0,3.0,3.0,0.0,46.4,0.3,-2.6,-0.07,236.0,638.0,37.0,791.0,132.0,51.8,41.7,341.0,66.9,52.5,393.0,26.0,6.6,13.0,0.34,14.5,358.0,131.0,23.0,36.6,9.42,3.45,0.09,0.24,0.09,-0.7,0.1,14692.0,18402.0,79.8,281402.0,92477.0,6073.0,6887.0,88.2,6253.0,7223.0,86.6,2037.0,3484.0,58.5,1.1,271.0,932.0,255.0,52.0,1090.0,16451.0,1951.0,598.0,30.0,3381.0,495.0,414.0,176.0,51.0,70.0,22.0,11967.0,2691.0,3744.0,5916.0,10346.0,692.0,750.0,240.0,60.0,317.0,239.0,504.0,598.0,15.74,432.0,50.0,38.0,25.0,43.0,65.0,1.71,40.0,4.0,7.0,4.0,10.0,0.0,619.0,371.0,351.0,217.0,51.0,191.0,563.0,33.9,372.0,5389.0,1542.0,28.6,2040.0,2314.0,1035.0,521.0,102.0,0.0,419.0,263.0,985.0,4.0,22702.0,2428.0,7524.0,11360.0,5166.0,679.0,20821.0,367.0,596.0,61.6,390.0,16.0,14522.0,75207.0,38737.0,1583.0,507.0,123.0,17193.0,14692.0,85.5,460.0,450.0,3.0,473.0,527.0,70.0,6.0,5.0,0.0,3231.0,637.0,653.0,49.4
Eibar,26.0,46.3,38.0,418.0,3420.0,38.0,24.0,7.0,10.0,92.0,3.0,1.0,0.63,1.63,0.82,1.45,41.4,33.8,23.7,1.09,0.62,1.71,0.89,1.51,38.0,38.0,3420.0,56.0,1.47,127.0,76.0,59.1,11.0,9.0,18.0,11.0,28.9,6.0,4.0,2.0,0.0,38.0,2.0,3.0,1.0,47.9,0.35,-7.1,-0.19,311.0,922.0,33.7,886.0,97.0,74.7,58.3,269.0,96.7,76.1,303.0,21.0,6.9,51.0,1.34,17.1,417.0,135.0,21.0,32.4,10.97,3.55,0.07,0.23,0.08,-3.4,-2.8,10623.0,15315.0,69.4,232440.0,87898.0,3962.0,4793.0,82.7,4288.0,5458.0,78.6,2181.0,4486.0,48.6,0.3,276.0,1036.0,248.0,102.0,1071.0,13212.0,2103.0,539.0,16.0,2740.0,711.0,556.0,189.0,71.0,87.0,12.0,6949.0,2787.0,5579.0,3509.0,8562.0,1239.0,1012.0,220.0,64.0,515.0,171.0,426.0,604.0,15.89,390.0,78.0,35.0,38.0,44.0,55.0,1.45,32.0,4.0,3.0,6.0,8.0,2.0,618.0,370.0,263.0,255.0,100.0,216.0,622.0,34.7,406.0,5515.0,1618.0,29.3,1386.0,2572.0,1557.0,580.0,96.0,3.0,484.0,264.0,1046.0,7.0,19711.0,1879.0,5278.0,9802.0,5668.0,704.0,17635.0,260.0,439.0,59.2,284.0,16.0,10552.0,53417.0,25488.0,1103.0,370.0,96.0,13748.0,10623.0,77.3,526.0,401.0,2.0,538.0,412.0,73.0,6.0,6.0,1.0,3933.0,909.0,1047.0,46.5
Espanyol,31.0,47.3,38.0,418.0,3420.0,25.0,17.0,4.0,4.0,107.0,9.0,0.66,0.45,1.11,0.55,1.0,33.0,30.1,22.7,0.87,0.6,1.47,0.79,1.39,38.0,38.0,3412.0,58.0,1.53,157.0,105.0,66.9,5.0,10.0,23.0,6.0,15.8,7.0,6.0,1.0,0.0,38.0,0.0,6.0,2.0,50.8,0.29,-5.2,-0.14,237.0,721.0,32.9,899.0,133.0,55.6,44.6,317.0,69.7,51.8,315.0,27.0,8.6,31.0,0.82,14.6,400.0,123.0,19.0,30.8,10.53,3.24,0.05,0.17,0.08,-8.0,-9.1,12032.0,16181.0,74.4,249539.0,88549.0,4368.0,5135.0,85.1,5453.0,6555.0,83.2,2015.0,3897.0,51.7,-5.7,275.0,950.0,246.0,79.0,1072.0,14262.0,1919.0,551.0,36.0,2533.0,519.0,441.0,155.0,49.0,63.0,19.0,8778.0,2859.0,4544.0,4884.0,8689.0,968.0,803.0,242.0,53.0,406.0,203.0,427.0,592.0,15.58,402.0,71.0,34.0,35.0,41.0,39.0,1.03,25.0,4.0,2.0,5.0,3.0,0.0,640.0,402.0,321.0,254.0,65.0,237.0,685.0,34.6,448.0,5907.0,1660.0,28.1,1928.0,2845.0,1134.0,551.0,98.0,1.0,453.0,251.0,1003.0,8.0,20408.0,2255.0,6895.0,10186.0,4489.0,652.0,18544.0,289.0,507.0,57.0,315.0,15.0,11942.0,63574.0,33188.0,1288.0,357.0,94.0,14836.0,12032.0,81.1,483.0,376.0,6.0,583.0,469.0,64.0,1.0,5.0,2.0,3591.0,705.0,747.0,48.6
Getafe,30.0,44.6,38.0,418.0,3420.0,42.0,31.0,6.0,7.0,135.0,5.0,1.11,0.82,1.92,0.95,1.76,37.9,32.6,25.6,1.0,0.67,1.67,0.86,1.53,38.0,38.0,3420.0,37.0,0.97,102.0,70.0,68.6,14.0,12.0,12.0,15.0,39.5,6.0,5.0,1.0,0.0,38.0,0.0,2.0,1.0,38.1,0.33,2.1,0.05,369.0,987.0,37.4,871.0,41.0,86.3,58.8,259.0,90.7,61.4,262.0,30.0,11.5,49.0,1.29,17.0,397.0,120.0,27.0,30.2,10.45,3.16,0.09,0.3,0.08,4.1,3.4,8444.0,13358.0,63.2,181592.0,80569.0,3346.0,4341.0,77.1,3093.0,4354.0,71.0,1759.0,3913.0,45.0,5.4,274.0,928.0,278.0,124.0,1069.0,11109.0,2249.0,642.0,12.0,2476.0,620.0,558.0,183.0,39.0,66.0,9.0,5274.0,2821.0,5263.0,3437.0,6677.0,1205.0,1092.0,128.0,97.0,448.0,196.0,544.0,610.0,16.05,411.0,73.0,33.0,24.0,59.0,73.0,1.92,44.0,6.0,11.0,4.0,7.0,1.0,644.0,391.0,260.0,294.0,90.0,203.0,580.0,35.0,377.0,6261.0,1865.0,29.8,1633.0,3179.0,1449.0,526.0,72.0,2.0,454.0,269.0,1145.0,4.0,17758.0,1587.0,4713.0,8406.0,5413.0,716.0,15554.0,262.0,448.0,58.5,289.0,13.0,8691.0,42964.0,21508.0,974.0,299.0,86.0,11585.0,8444.0,72.9,521.0,410.0,2.0,706.0,495.0,106.0,4.0,6.0,1.0,4044.0,896.0,1021.0,46.7
Granada,27.0,43.7,38.0,418.0,3420.0,50.0,34.0,5.0,5.0,109.0,1.0,1.32,0.89,2.21,1.18,2.08,40.9,37.1,24.9,1.08,0.66,1.73,0.98,1.63,38.0,38.0,3420.0,45.0,1.18,149.0,107.0,72.5,16.0,8.0,14.0,13.0,34.2,5.0,4.0,1.0,0.0,38.0,1.0,5.0,0.0,44.9,0.28,-0.1,0.0,378.0,979.0,38.6,1081.0,136.0,66.3,49.2,326.0,80.4,59.7,362.0,40.0,11.0,44.0,1.16,15.6,384.0,118.0,25.0,30.7,10.11,3.11,0.12,0.38,0.1,9.1,7.9,9933.0,13965.0,71.1,216931.0,83075.0,3584.0,4367.0,82.1,4181.0,5192.0,80.5,1994.0,3817.0,52.2,9.1,256.0,791.0,185.0,71.0,900.0,11990.0,1975.0,583.0,18.0,2640.0,530.0,405.0,162.0,54.0,55.0,15.0,7190.0,2429.0,4346.0,3782.0,7685.0,852.0,822.0,219.0,56.0,454.0,188.0,458.0,567.0,14.92,370.0,75.0,27.0,30.0,48.0,77.0,2.03,44.0,7.0,3.0,8.0,9.0,6.0,590.0,351.0,258.0,264.0,68.0,183.0,532.0,34.4,349.0,5811.0,1577.0,27.1,1731.0,2884.0,1196.0,588.0,126.0,0.0,462.0,214.0,1005.0,4.0,18072.0,2365.0,6249.0,8418.0,4361.0,612.0,16138.0,303.0,520.0,58.3,328.0,22.0,10152.0,52303.0,26636.0,1050.0,304.0,93.0,12437.0,9933.0,79.9,443.0,343.0,1.0,591.0,497.0,70.0,3.0,5.0,0.0,3285.0,686.0,798.0,46.2
