player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Aly Abeid,mr MTN,DF,Levante,19,1997,1.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,38.0,76.3,521.0,188.0,15.0,16.0,93.8,10.0,11.0,90.9,4.0,9.0,44.4,-0.2,2.0,0.0,2.0,1.0,2.0,31.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,10.0,8.0,20.0,10.0,1.0,7.0,0.0,0.0,1.0,1.0,2.0,3.0,3.51,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,9.0,4.0,44.4,7.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,46.0,3.0,20.0,19.0,11.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,25.0,136.0,93.0,3.0,2.0,0.0,21.0,20.0,95.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
Antonio Adán,es ESP,GK,Betis,30,1987,30.0,30.0,2700.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.4,0.0,0.01,0.01,0.0,0.01,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,1035.0,69.0,21475.0,13429.0,86.0,86.0,100.0,371.0,380.0,97.6,256.0,566.0,45.2,1.6,2.0,12.0,1.0,0.0,0.0,848.0,187.0,57.0,0.0,157.0,26.0,0.0,0.0,0.0,0.0,0.0,512.0,35.0,488.0,755.0,161.0,3.0,0.0,96.0,1.0,32.0,5.0,3.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1163.0,999.0,1160.0,4.0,2.0,0.0,978.0,4.0,4.0,100.0,4.0,0.0,751.0,3850.0,2335.0,0.0,1.0,0.0,655.0,655.0,100.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0
Aday,es ESP,"MF,DF",Girona,29,1987,31.0,20.0,1835.0,2.0,0.0,1.0,2.0,10.0,0.0,0.1,0.0,0.1,0.05,0.05,2.6,1.1,1.8,0.13,0.09,0.21,0.06,0.14,20.4,32.0,14.0,6.0,43.8,1.57,0.69,0.03,0.07,0.04,-0.6,-0.1,695.0,1006.0,69.1,13470.0,4438.0,276.0,344.0,80.2,322.0,431.0,74.7,94.0,205.0,45.9,-1.8,23.0,41.0,29.0,19.0,66.0,861.0,145.0,7.0,0.0,195.0,39.0,99.0,4.0,0.0,0.0,0.0,528.0,149.0,329.0,118.0,656.0,81.0,134.0,1.0,2.0,34.0,24.0,40.0,51.0,2.5,39.0,2.0,2.0,3.0,5.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,11.0,2.0,2.0,6.0,20.0,30.0,14.0,271.0,64.0,23.6,108.0,103.0,60.0,39.0,5.0,1.0,34.0,21.0,23.0,2.0,1205.0,57.0,249.0,522.0,525.0,45.0,1054.0,27.0,36.0,75.0,27.0,0.0,795.0,5416.0,2864.0,145.0,45.0,12.0,849.0,738.0,86.9,25.0,19.0,0.0,42.0,18.0,6.0,0.0,0.0,1.0,187.0,19.0,11.0,63.3
Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,33.0,21.0,2152.0,9.0,1.0,3.0,5.0,5.0,0.0,0.38,0.04,0.42,0.25,0.29,10.6,7.1,1.1,0.44,0.04,0.49,0.29,0.34,23.9,54.0,25.0,0.0,46.3,2.26,1.05,0.11,0.24,0.13,-1.6,-1.1,329.0,509.0,64.6,4876.0,1115.0,204.0,289.0,70.6,101.0,160.0,63.1,18.0,38.0,47.4,-0.1,11.0,36.0,10.0,0.0,32.0,490.0,19.0,1.0,0.0,135.0,5.0,16.0,1.0,0.0,0.0,0.0,295.0,110.0,104.0,54.0,307.0,81.0,4.0,16.0,2.0,13.0,10.0,27.0,32.0,1.34,18.0,1.0,3.0,4.0,5.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,5.0,3.0,2.0,7.0,28.6,5.0,348.0,95.0,27.3,20.0,152.0,176.0,12.0,1.0,0.0,11.0,0.0,17.0,0.0,731.0,17.0,44.0,322.0,409.0,122.0,709.0,23.0,35.0,65.7,27.0,2.0,475.0,1916.0,843.0,51.0,20.0,11.0,1077.0,561.0,52.1,43.0,28.0,0.0,48.0,44.0,35.0,0.0,0.0,0.0,72.0,63.0,45.0,58.3
Martin Agirregabiria,es ESP,DF,Alavés,21,1996,21.0,20.0,1828.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,1.2,0.0,0.06,0.06,0.0,0.06,20.3,3.0,1.0,0.0,33.3,0.15,0.05,0.0,0.0,0.01,0.0,0.0,598.0,873.0,68.5,10555.0,5335.0,283.0,359.0,78.8,249.0,344.0,72.4,62.0,134.0,46.3,2.8,11.0,49.0,11.0,7.0,66.0,709.0,164.0,3.0,1.0,170.0,11.0,35.0,0.0,0.0,0.0,0.0,441.0,196.0,236.0,47.0,578.0,76.0,161.0,5.0,0.0,36.0,31.0,54.0,21.0,1.03,16.0,4.0,1.0,0.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,35.0,19.0,22.0,11.0,2.0,12.0,34.0,35.3,22.0,209.0,63.0,30.1,125.0,70.0,14.0,33.0,6.0,0.0,27.0,27.0,36.0,0.0,1058.0,86.0,383.0,472.0,252.0,6.0,896.0,18.0,29.0,62.1,21.0,1.0,580.0,2747.0,1516.0,66.0,16.0,5.0,520.0,480.0,92.3,17.0,14.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,244.0,7.0,7.0,50.0
Imanol Agirretxe,es ESP,FW,Real Sociedad,30,1987,11.0,2.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,0.46,0.02,0.48,0.46,0.48,2.6,5.0,2.0,0.0,40.0,1.94,0.78,0.0,0.0,0.24,-1.2,-1.2,36.0,56.0,64.3,542.0,95.0,18.0,26.0,69.2,16.0,24.0,66.7,1.0,3.0,33.3,-0.1,1.0,1.0,0.0,0.0,3.0,55.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,13.0,9.0,38.0,5.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.16,1.0,0.0,0.0,1.0,1.0,2.0,0.78,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,42.0,12.0,28.6,3.0,20.0,19.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,76.0,2.0,8.0,42.0,33.0,11.0,75.0,3.0,4.0,75.0,3.0,1.0,52.0,150.0,61.0,3.0,2.0,0.0,96.0,56.0,58.3,5.0,2.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,10.0,6.0,2.0,75.0
Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,15.0,14.0,1153.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,0.04,0.04,0.08,0.04,0.08,12.8,9.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.05,-0.5,-0.5,489.0,668.0,73.2,8715.0,3823.0,228.0,258.0,88.4,203.0,276.0,73.6,54.0,120.0,45.0,-0.6,7.0,39.0,18.0,5.0,54.0,559.0,109.0,8.0,0.0,96.0,7.0,16.0,0.0,0.0,0.0,0.0,399.0,81.0,188.0,61.0,476.0,23.0,101.0,3.0,3.0,18.0,11.0,14.0,18.0,1.41,16.0,0.0,0.0,1.0,1.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,24.0,15.0,13.0,10.0,1.0,10.0,28.0,35.7,18.0,173.0,45.0,26.0,75.0,67.0,31.0,28.0,1.0,0.0,27.0,18.0,13.0,0.0,788.0,28.0,207.0,417.0,219.0,11.0,682.0,17.0,24.0,70.8,17.0,0.0,546.0,2864.0,1413.0,56.0,18.0,2.0,492.0,461.0,93.7,15.0,14.0,0.0,20.0,23.0,1.0,0.0,0.0,0.0,108.0,5.0,10.0,33.3
Ager Aketxe,es ESP,MF,Athletic Club,23,1993,3.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.21,0.0,0.21,0.21,0.21,0.4,2.0,0.0,0.0,0.0,4.86,0.0,0.0,0.0,0.04,-0.1,-0.1,32.0,41.0,78.0,490.0,90.0,21.0,22.0,95.5,8.0,9.0,88.9,3.0,9.0,33.3,0.0,0.0,5.0,0.0,0.0,2.0,36.0,5.0,2.0,0.0,6.0,2.0,2.0,3.0,0.0,0.0,0.0,32.0,0.0,9.0,30.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,7.3,3.0,0.0,0.0,0.0,0.0,1.0,2.43,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,2.0,4.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,2.0,24.0,29.0,2.0,45.0,0.0,2.0,0.0,0.0,0.0,39.0,176.0,79.0,6.0,3.0,0.0,47.0,37.0,78.7,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
David Alba,es ESP,DF,Getafe,18,1999,1.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,54.5,171.0,97.0,0.0,3.0,0.0,3.0,5.0,60.0,3.0,3.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,5.0,11.0,5.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,38.0,14.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Jordi Alba,es ESP,DF,Barcelona,28,1989,33.0,30.0,2744.0,2.0,8.0,0.0,0.0,7.0,0.0,0.07,0.26,0.33,0.07,0.33,1.9,1.9,4.1,0.06,0.13,0.2,0.06,0.2,30.5,15.0,5.0,0.0,33.3,0.49,0.16,0.13,0.4,0.13,0.1,0.1,1985.0,2323.0,85.4,31666.0,10815.0,1041.0,1132.0,92.0,805.0,934.0,86.2,113.0,183.0,61.7,3.9,38.0,106.0,40.0,10.0,160.0,2105.0,218.0,23.0,1.0,387.0,22.0,75.0,1.0,0.0,0.0,0.0,1797.0,284.0,242.0,1763.0,298.0,57.0,194.0,5.0,8.0,20.0,43.0,79.0,57.0,1.87,53.0,0.0,0.0,2.0,1.0,12.0,0.39,10.0,0.0,0.0,2.0,0.0,0.0,42.0,30.0,22.0,15.0,5.0,15.0,40.0,37.5,25.0,483.0,142.0,29.4,210.0,195.0,78.0,71.0,6.0,0.0,65.0,52.0,29.0,0.0,2585.0,97.0,680.0,1120.0,937.0,113.0,2374.0,17.0,27.0,63.0,19.0,3.0,1861.0,7513.0,3752.0,144.0,56.0,12.0,1981.0,1810.0,91.4,32.0,9.0,0.0,38.0,23.0,16.0,0.0,0.0,0.0,278.0,8.0,10.0,44.4
